Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
AEG01,All,Grassland,Grassland_medium,Grassland_medium,0,1308.38125,0,0,0.968016507841018,4.67877272425,0,0.739398262150391,0.369299477288164,0,0.800947076084859,0.677966101694915,0.111111111111111,0
AEG02,All,Grassland,Grassland_high,Grassland_high,0,1216.99325,0,0,0.964607635393212,4.6198083137,0,1.8193237596898,0.724801791601168,0,0.903834183876098,0.491525423728814,0.222222222222222,0
AEG03,All,Grassland,Grassland_medium,Grassland_medium,0,669.123662436548,0,0,0.546969695775339,4.56269832375,0,1.29068654137488,0.188038406467805,0,0.980480162593524,0.593220338983051,0.333333333333333,0
AEG04,All,Grassland,Grassland_medium,Grassland_medium,0,636.140523917996,0,0,0.642736876024502,3.97954829375,0,0.356124566211002,0.697110924309994,0,0.473590648191764,0.457627118644068,0.333333333333333,1
AEG05,All,Grassland,Grassland_medium,Grassland_medium,0,564.996689986273,0,0,0.763192520555285,5.91120348395,0,1.15227133513953,0.312494097528613,0,0.69437989651916,0.440677966101695,0.111111111111111,1
AEG06,All,Grassland,Grassland_high,Grassland_high,0,563.764661095635,0,0,0.752196040740672,5.4600472379,0,1.13294990864708,0.24755167423225,0,0.519439570303654,0.694915254237288,0.111111111111111,0
AEG07,All,Grassland,Grassland_low,Grassland_low,0,59.9782615384615,0,0,0.676518323647357,4.0807776617,0,2.5986960149667,0.436113069453504,1,0.703191837814904,0.949152542372881,1,1
AEG08,All,Grassland,Grassland_low,Grassland_low,0,166.890370370371,0,0,0.666709009870841,5.05943519725,0,1.33208905055627,0.751658900766471,0,0.777301143015175,1,0.333333333333333,0
AEG09,All,Grassland,Grassland_low,Grassland_low,0,101.679152542373,0,0,0.570890233191901,4.6303362789,0,2.44426083432065,0.622025393882105,0,0.593542578572441,1,1,1
AEG10,All,Grassland,Grassland_low,Grassland_low,0,333.135,0,0,0.574274318748285,5.07742541625,0,1.90408459456442,0.142426506354511,0,0.658236547062948,1,0.222222222222222,0
AEG11,All,Grassland,Grassland_high,Grassland_high,0,1088.0265,0,0,0.615321226600053,4.62712693165,0,0.886287328361912,0.369299477288164,0,0.550482980899731,0.728813559322034,0.222222222222222,1
AEG12,All,Grassland,Grassland_high,Grassland_high,0,1262.9375,0,0,0.766233140248719,5.3848823702,0,0.823633782088278,0.391320093331326,0,1,0.627118644067797,0,0
AEG13,All,Grassland,Grassland_high,Grassland_high,0,1239.8375,0,0,0.835200734903095,5.11632849695,0,0.893614356280171,0.909978814942999,0,0.653970549127347,0.491525423728814,0.222222222222222,0
AEG14,All,Grassland,Grassland_high,Grassland_high,0,1142.625,0,0,0.857861342117545,4.1112124366,0,1.15803840013645,0.300651220525488,0,0.931287864633609,0.508474576271186,0.111111111111111,0
AEG15,All,Grassland,Grassland_high,Grassland_high,0,1358.56875,0,0,0.670476576107496,4.192497487,0,0.958620967540231,0.300091464181451,0,0.706104714233436,0.661016949152542,0.333333333333333,0
AEG16,All,Grassland,Grassland_medium,Grassland_medium,0,814.786908296943,0,0,1,4.2426855169,0,1.26966810405282,0.252732106752806,0,0.907131355551093,0.728813559322034,0.222222222222222,0
AEG17,All,Grassland,Grassland_high,Grassland_high,0,550.61875,0,0,0.830314437102518,4.75907067375,0,1.15621186915345,0.436113069453504,0,0.979147082218239,0.830508474576271,0.222222222222222,0
AEG18,All,Grassland,Grassland_high,Grassland_high,0,1293.53125,0,0,0.776781585427338,4.147377398,0,1.24650178062716,0.250989821468673,0,0.698666232883019,0.610169491525424,0.222222222222222,0
AEG19,All,Grassland,Grassland_high,Grassland_high,0,377.648223229794,0,0,0.56026968543033,5.29705291635,0,0.787126585745756,0.300091464181451,0,0.357255509413313,0.508474576271186,0.333333333333333,0
AEG20,All,Grassland,Grassland_medium,Grassland_medium,0,300.99141780822,0,0,0.815717468598944,4.71785732465,0,0.893724084084535,0.425347166180103,0,0.69491713443049,0.576271186440678,0,0
AEG21,All,Grassland,Grassland_high,Grassland_high,0,1455.71392195466,0,0,0.861017741424404,5.5657205652,0,1.26607402989492,0.429791596676398,0,0.977048566819127,0.610169491525424,0.222222222222222,0
AEG22,All,Grassland,Grassland_low,Grassland_low,0,268.953181818181,0,0,0.395191084466894,4.12981581355,0,1.9895071677758,0.269514887042443,0,0.592913492461842,1,0.444444444444444,0
AEG23,All,Grassland,Grassland_low,Grassland_low,0,705.672,0,0,0.536958946848674,5.41088407465,0,0.662424455141677,0.451348821487387,0,0.803969967360218,0.694915254237288,0.333333333333333,1
AEG24,All,Grassland,Grassland_high,Grassland_high,0,1548.77079804946,0,0,1,5.11042824005,0,1.03116404661907,0.393873599945462,0,0.929884264944243,0.576271186440678,0.555555555555556,0
AEG25,All,Grassland,Grassland_low,Grassland_low,0,100.435784224841,0,0,0.88608285984579,4.3919135063,0,1.27807741344145,0.622025393882105,1,0.885691012664738,1,0.888888888888889,1
AEG26,All,Grassland,Grassland_medium,Grassland_medium,0,500.3922,0,0,0.674797629914841,3.48282678275,0,1.84608385569119,0.405323849723657,1,0.708215644844971,1,1,0
AEG27,All,Grassland,Grassland_low,Grassland_low,0,249.954542986425,0,0,0.704027928043828,3.85079708115,0,1.7349872133047,0.300651220525488,1,0.754645781674715,1,0.666666666666667,0
AEG28,All,Grassland,Grassland_low,Grassland_low,0,188.241992031873,0,0,0.821870342030431,4.0068370763,0,2.15255589590591,0.404176069990269,0,1,1,0.888888888888889,0
AEG29,All,Grassland,Grassland_high,Grassland_high,0,400.564104158595,0,0,0.499571378685568,4.40123017615,0,2.03445255571868,0.476143167330817,0,0.834938174241427,1,0.333333333333333,0
AEG30,All,Grassland,Grassland_medium,Grassland_medium,0,583.563810218979,0,0,0.557148381559426,4.74911235735,0,2.24784877467671,0.424101860543454,0,0.78017649614907,0.830508474576271,0.333333333333333,0
AEG31,All,Grassland,Grassland_low,Grassland_low,0,372.109223889761,0,0,0.652906448267598,4.82411751645,0,1.82182535947945,0.909978814942999,0,0.741425050405408,0.898305084745763,0.444444444444444,0
AEG32,All,Grassland,Grassland_low,Grassland_low,0,113.861694174757,0,0,0.246663245483571,3.25373103005,0,2.79259962596519,0.717927660229059,0,0.432399063711412,0.813559322033898,0.555555555555556,0
AEG33,All,Grassland,Grassland_low,Grassland_low,0,310.116752910737,0,0,0.727578680555476,3.81929218735,0,2.01402194419434,0.429791596676398,0,0.681906614487726,0.966101694915254,0.666666666666667,0
AEG34,All,Grassland,Grassland_low,Grassland_low,0,336.03,0,0,0.594826083033696,3.94706453415,0,2.22929562115365,0.878651647133435,0,1,0.830508474576271,0.111111111111111,0
