Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
AEG01,A,Grassland,Grassland_medium,Grassland_medium,0,1308.38125,0,0,0.973369687507139,4.67877272425,0,0.715150240648539,0.302506093538688,0,0.821248613758673,0.655737704918033,0.125,0
AEG02,A,Grassland,Grassland_high,Grassland_high,0,1216.99325,0,0,0.969941963824334,4.6198083137,0,2.01334034822076,0.724801791601168,0,0.926743592353541,0.475409836065574,0.25,0
AEG03,A,Grassland,Grassland_medium,Grassland_medium,0,669.123662436548,0,0,0.549994465528429,4.56269832375,0,1.26720369796257,0.188038406467805,0,1,0.573770491803279,0.375,0
AEG04,A,Grassland,Grassland_medium,Grassland_medium,0,636.140523917996,0,0,0.646291243070447,3.97954829375,0,0.847454653311988,0.697110924309994,0,0.485594710224462,0.442622950819672,0.375,1
AEG05,A,Grassland,Grassland_medium,Grassland_medium,0,564.996689986273,0,0,0.767413013335397,5.91120348395,0,1.14585148967083,0.312494097528613,0,0.711980284921888,0.426229508196721,0.125,1
AEG06,A,Grassland,Grassland_high,Grassland_high,0,563.764661095635,0,0,0.756355722437848,5.4600472379,0,1.26601143242477,0.24755167423225,0,0.532605761080374,0.672131147540984,0.125,0
AEG07,A,Grassland,Grassland_low,Grassland_low,0,59.9782615384615,0,0,0.680259503786923,4.0807776617,0,2.78355292418583,0.436113069453504,1,0.721015581747025,0.918032786885246,1,1
AEG08,A,Grassland,Grassland_low,Grassland_low,0,166.890370370371,0,0,0.670395944014991,5.05943519725,0,1.44789470302288,0.751658900766471,0,0.797003329226975,1,0.375,0
AEG09,A,Grassland,Grassland_low,Grassland_low,0,101.679152542373,0,0,0.574047284712361,4.6303362789,0,2.22737301341687,0.697110924309994,0,0.608587052021052,1,1,1
AEG10,A,Grassland,Grassland_low,Grassland_low,0,333.135,0,0,0.577450084430996,5.07742541625,0,2.23622172625829,0.302506093538688,0,0.674920813049411,1,0.25,0
AEG11,A,Grassland,Grassland_high,Grassland_high,0,1088.0265,0,0,0.618723983734551,4.62712693165,0,1.40783367802556,0.369299477288164,0,0.564436026374542,0.704918032786885,0.25,1
AEG12,A,Grassland,Grassland_high,Grassland_high,0,1262.9375,0,0,0.770470447807695,5.3848823702,0,1.55800480088521,0.391320093331326,0,1,0.60655737704918,0,0
AEG13,A,Grassland,Grassland_high,Grassland_high,0,1239.8375,0,0,0.839819436707245,5.11632849695,0,1.17922975307021,0.909978814942999,0,0.670546685225592,0.475409836065574,0.25,0
AEG14,A,Grassland,Grassland_high,Grassland_high,0,1142.625,0,0,0.862605358212083,4.1112124366,0,1.15840962781697,0.300651220525488,0,0.954893139231081,0.491803278688525,0.125,0
AEG15,A,Grassland,Grassland_high,Grassland_high,0,1358.56875,0,0,0.674184345081224,4.192497487,0,0.630233763341542,0.260672966336677,0,0.724002290597332,0.639344262295082,0.375,0
AEG16,A,Grassland,Grassland_medium,Grassland_medium,0,814.786908296943,0,0,1,4.2426855169,0,1.90147354892031,0.252732106752806,0,0.930124337159615,0.704918032786885,0.25,0
AEG17,A,Grassland,Grassland_high,Grassland_high,0,550.61875,0,0,0.834906117435633,4.75907067375,0,1.50687194618294,0.252732106752806,0,1,0.80327868852459,0.25,0
AEG18,A,Grassland,Grassland_high,Grassland_high,0,1293.53125,0,0,0.781077226415322,4.147377398,0,1.44254392442069,0.250989821468673,0,0.716375266690384,0.59016393442623,0.25,0
AEG19,A,Grassland,Grassland_high,Grassland_high,0,377.648223229794,0,0,0.563368004790895,5.29705291635,0,0.842056722682966,0.300091464181451,0,0.366310834540392,0.491803278688525,0.375,0
AEG20,A,Grassland,Grassland_medium,Grassland_medium,0,300.99141780822,0,0,0.820228426966733,4.71785732465,0,0.986748632283317,0.425347166180103,0,0.712531140157036,0.557377049180328,0,0
AEG21,A,Grassland,Grassland_high,Grassland_high,0,1455.71392195466,0,0,0.865779212564853,5.5657205652,0,1.31193612652076,0.429791596676398,0,1,0.59016393442623,0.25,0
AEG22,A,Grassland,Grassland_low,Grassland_low,0,268.953181818181,0,0,0.397376510914134,4.12981581355,0,1.43429256847882,0.269514887042443,0,0.607942020518109,1,0.5,0
AEG23,A,Grassland,Grassland_low,Grassland_low,0,705.672,0,0,0.5399283566599,5.41088407465,0,1.19121441405764,0.697110924309994,0,0.824348126003061,0.672131147540984,0.375,1
AEG24,A,Grassland,Grassland_high,Grassland_high,0,1548.77079804946,0,0,1,5.11042824005,0,1.38160902718134,0.393873599945462,0,0.953453962619314,0.557377049180328,0.625,0
AEG25,A,Grassland,Grassland_low,Grassland_low,0,100.435784224841,0,0,0.890982942343767,4.3919135063,0,2.04586739246589,0.622025393882105,1,0.908140547718745,1,1,1
AEG26,A,Grassland,Grassland_medium,Grassland_medium,0,500.3922,0,0,0.678529294532074,3.48282678275,0,2.08376101482884,0.405323849723657,1,0.726166726788219,1,1,0
AEG27,A,Grassland,Grassland_low,Grassland_low,0,249.954542986425,0,0,0.707921237670532,3.85079708115,0,2.05911460483338,0.300651220525488,1,0.773773724362192,1,0.75,0
AEG28,A,Grassland,Grassland_low,Grassland_low,0,188.241992031873,0,0,0.826415326095794,4.0068370763,0,2.32913543972306,0.404176069990269,0,1,1,1,0
AEG29,A,Grassland,Grassland_high,Grassland_high,0,400.564104158595,0,0,0.502334033376365,4.40123017615,0,2.50966686547874,0.476143167330817,0,0.856101281400172,0.967213114754098,0.375,0
AEG30,A,Grassland,Grassland_medium,Grassland_medium,0,583.563810218979,0,0,0.560229439953594,4.74911235735,0,1.8726196311864,0.424101860543454,0,0.799951563693129,0.80327868852459,0.375,0
AEG31,A,Grassland,Grassland_low,Grassland_low,0,372.109223889761,0,0,0.656517053556283,4.82411751645,0,1.55958190562706,0.451348821487387,0,0.760217888337586,0.868852459016394,0.5,0
AEG32,A,Grassland,Grassland_low,Grassland_low,0,113.861694174757,0,0,0.24802730555838,3.25373103005,0,2.89061693839135,0.717927660229059,0,0.443359046142422,0.786885245901639,0.625,0
AEG33,A,Grassland,Grassland_low,Grassland_low,0,310.116752910737,0,0,0.731602227020546,3.81929218735,0,2.11865305194624,0.429791596676398,0,0.699190843667656,0.934426229508197,0.75,0
AEG34,A,Grassland,Grassland_low,Grassland_low,0,336.03,0,0,0.598115501000004,3.94706453415,0,2.40394352859594,0.878651647133435,0,1,0.80327868852459,0.125,0
AEG35,A,Grassland,Grassland_medium,Grassland_medium,0,917.46875,0,0,0.538838691862733,3.59309863915,0,0.961167694334538,0.300091464181451,0,0.562695547280587,0.524590163934426,0.125,0
AEG36,A,Grassland,Grassland_medium,Grassland_medium,0,907.602001037345,0,0,0.575070238808055,4.1250249834,0,0.734082029408811,0.142426506354511,0,0.487207986131227,0.508196721311475,0.25,0
AEG37,A,Grassland,Grassland_medium,Grassland_medium,0,1278.41252671756,0,0,1,5.19627412125,0,1.74378251623317,0.420550149562093,0,0.649442855159597,0.622950819672131,0.375,1
AEG38,A,Grassland,Grassland_low,Grassland_low,0,660.4125,0,0,0.363383011338832,3.90309604885,0,1.25747315335908,0.324817140354817,0,0.884502954944249,0.639344262295082,0.125,0
AEG39,A,Grassland,Grassland_medium,Grassland_medium,0,1307.28125,0,0,1,5.34,0,1.06496091323977,0.302506093538688,0,0.511179967153505,0.442622950819672,0.25,0
AEG40,A,Grassland,Grassland_high,Grassland_high,0,759.154,0,0,1,4.17061087355,0,1.83854746757009,0.201906734262883,0,1,0.770491803278689,0.75,0
