Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
AEG01,All,Grassland,Grassland_medium,Grassland_medium,0,2040.52834456255,0,0,1,2.89262584259063,0,0.364298530159335,0.422028226323822,0,0.740237313376317,0.677966101694915,0.111111111111111,0
AEG02,All,Grassland,Grassland_high,Grassland_high,0,2185.07854572127,0,0,1,5.81428339770788,0,1.01226357172299,0.812530858940442,0,0.581482799189838,0.491525423728814,0.222222222222222,0
AEG03,All,Grassland,Grassland_medium,Grassland_medium,0,1576.5539301507,0,0,0.777206028622947,4.06574603212491,0,0.37943623496547,0.355010517608136,0,0.754276943539838,0.593220338983051,0.333333333333333,0
AEG04,All,Grassland,Grassland_medium,Grassland_medium,0,1318.85531463881,0,0,0.885776026162325,4.57432486361853,0,0.427454081688739,0.787943362585712,0,0.240705375955026,0.457627118644068,0.333333333333333,1
AEG05,All,Grassland,Grassland_medium,Grassland_medium,0,1434.99067465478,0,0,0.961046930311671,6.39628988859931,0,0.521395950594755,0.434985601535849,0,0.434318761663741,0.440677966101695,0.111111111111111,1
AEG06,All,Grassland,Grassland_high,Grassland_high,0,1406.35230830008,0,0,0.958859672844606,5.28824989237037,0,0.433762548898234,0.350770683581521,0,0.310619608323414,0.694915254237288,0.111111111111111,0
AEG07,All,Grassland,Grassland_low,Grassland_low,0,1153.6637469601,0,0,0.842281259106539,4.89613556258651,0,1.32549422579596,0.565433532431687,1,0.400267395427821,0.949152542372881,1,1
AEG08,All,Grassland,Grassland_low,Grassland_low,0,1210.14123344483,0,0,0.888152413553958,4.16958488392193,0,0.496902892356841,0.840499436837878,0,0.516224319486426,1,0.333333333333333,0
AEG09,All,Grassland,Grassland_low,Grassland_low,0,1010.05259050364,0,0,0.733530874133941,5.06606244744899,0,1.35475444923113,0.724742994438947,0,0.322341761961318,1,1,1
AEG10,All,Grassland,Grassland_low,Grassland_low,0,1107.63510847652,0,0,0.757520493146068,4.48589421390233,0,0.584888493299273,0.501573106807172,0,0.43758771785339,1,0.222222222222222,0
AEG11,All,Grassland,Grassland_high,Grassland_high,0,1991.30868137251,0,0,0.921571464306787,4.71299940024225,0,0.648068434989982,0.461860374400597,0,0.227707699280934,0.728813559322034,0.222222222222222,1
AEG12,All,Grassland,Grassland_high,Grassland_high,0,2205.76219634296,0,0,0.919862541669003,5.76379919356826,0,0.297075085541435,0.490978736671844,0,0.737542244783633,0.627118644067797,0,0
AEG13,All,Grassland,Grassland_high,Grassland_high,0,1987.58695775474,0,0,1,5.36717656076628,0,0.268280044123366,1.02694147584292,0,0.385341556488979,0.491525423728814,0.222222222222222,0
AEG14,All,Grassland,Grassland_high,Grassland_high,0,1999.59052901558,0,0,0.98406864363564,4.76091123404474,0,0.700695098735668,0.516231233333271,0,0.620131691579649,0.508474576271186,0.111111111111111,0
