Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
AEG01,A,Grassland,Grassland_medium,Grassland_medium,0,967.268387720688,0,0,13.2640641604737,4.13045161796025,0,1.72940388819188,0.61355131381144,0,13.7393276046122,43,1,0
AEG02,A,Grassland,Grassland_high,Grassland_high,0,1097.5982628977,0,0,12.3107102141823,4.3793032086767,0,1.6633275608369,0.817654276294599,0,13.613441417835,32,2,0
AEG03,A,Grassland,Grassland_medium,Grassland_medium,0,480.703884528098,0,0,8.0443007619338,4.33765580774161,0,1.29628640095889,0.236126919519759,0,15.1966314775419,38,3,0
AEG04,A,Grassland,Grassland_medium,Grassland_medium,0,249.759683805305,0,0,9.32145372036563,3.9227478595795,0,1.05860255592645,0.624938566469022,0,11.1775268516521,30,3,1
AEG05,A,Grassland,Grassland_medium,Grassland_medium,0,527.152688550111,0,0,11.9320926201863,5.71045329981195,0,1.20097926819543,0.202685829468074,0,12.1012672301245,29,1,1
AEG06,A,Grassland,Grassland_high,Grassland_high,0,383.990018383791,0,0,11.3098119481751,5.35840124761051,0,1.25538709584188,0.210872017659546,0,9.97741437215789,44,1,0
AEG07,A,Grassland,Grassland_low,Grassland_low,0,249.702360904523,0,0,9.84816737666856,3.83259543566234,0,2.26203230491729,0.418491382555273,1,9.39891940599691,59,13,1
AEG08,A,Grassland,Grassland_low,Grassland_low,0,394.039289591233,0,0,12.2146006341756,5.18464988926587,0,0.861106445722126,0.733177392021345,0,12.5224536624754,66,3,0
AEG09,A,Grassland,Grassland_low,Grassland_low,0,-4.63762717604014,0,0,7.0764538635139,4.47015620724884,0,2.26482897290989,0.307945729484408,0,8.80295696286514,64,12,1
AEG10,A,Grassland,Grassland_low,Grassland_low,0,172.271538593454,0,0,9.99170905044654,5.44459509106263,0,1.60860939192687,0.352501616152175,0,11.4112236614482,71,2,0
AEG11,A,Grassland,Grassland_high,Grassland_high,0,1095.00383457862,0,0,11.9479264262722,4.93224367256526,0,0.733705738836741,0.395982594339965,0,10.098303217648,46,2,1
AEG12,A,Grassland,Grassland_high,Grassland_high,0,1264.83806994951,0,0,10.9041571918597,5.17679805546068,0,0.955493445376075,0.32014003035421,0,16.6644711720025,40,0,0
AEG13,A,Grassland,Grassland_high,Grassland_high,0,883.008719049721,0,0,11.6736313384382,4.99300973675733,0,1.22438560290809,0.997971887476271,0,10.7733842473119,32,2,0
AEG14,A,Grassland,Grassland_high,Grassland_high,0,1032.4572654683,0,0,11.9722679639947,4.15155859922354,0,1.1080098534673,0.402162082430347,0,14.5383597875533,33,1,0
AEG15,A,Grassland,Grassland_high,Grassland_high,0,1586.09586160659,0,0,13.6017518436012,4.64075330069621,0,0.344766822435367,0.299687494423158,0,13.1466845018462,42,3,0
AEG16,A,Grassland,Grassland_medium,Grassland_medium,0,670.558198582934,0,0,14.2926967704501,3.73054610331601,0,2.65269925013978,0.270218295974899,0,14.1109378817605,46,2,0
AEG17,A,Grassland,Grassland_high,Grassland_high,0,447.397364691318,0,0,12.0164384354703,4.5849528112049,0,1.37339212522981,0.528486514090715,0,13.786719043673,52,2,0
AEG18,A,Grassland,Grassland_high,Grassland_high,0,1262.39145380015,0,0,11.1124207198816,4.15442470768237,0,1.15353952502075,0.300317504383802,0,10.1241204645484,39,2,0
AEG19,A,Grassland,Grassland_high,Grassland_high,0,159.299366290113,0,0,8.23554358156747,4.74228568663982,0,0.663317144055517,0.350698065866263,0,6.44754439761446,33,3,0
AEG20,A,Grassland,Grassland_medium,Grassland_medium,0,538.524942841596,0,0,13.0351957547864,4.31597919931329,0,1.25961843495126,0.47273553513724,0,13.0143077675108,37,0,0
AEG21,A,Grassland,Grassland_high,Grassland_high,0,1351.45647760857,0,0,13.5727991935816,5.37749074744668,0,0.604469448045008,0.854022796287503,0,16.8049637671031,39,2,0
AEG22,A,Grassland,Grassland_low,Grassland_low,0,218.932464288592,0,0,6.7360593583614,4.04159460642133,0,1.21090023018884,0.38304264325822,0,9.4473659396406,64,4,0
AEG23,A,Grassland,Grassland_low,Grassland_low,0,743.439027513506,0,0,9.79091015690329,5.06754506895887,0,1.21590525815967,0.327113670713534,0,11.5513683574484,44,3,1
AEG24,A,Grassland,Grassland_high,Grassland_high,0,1460.2958045376,0,0,16.6526642333091,5.11227556688786,0,1.04480975431483,0.39730233441435,0,15.2989211976599,37,5,0
AEG25,A,Grassland,Grassland_low,Grassland_low,0,191.697494301478,0,0,13.0154173835727,4.7205702976629,0,1.86295192726887,0.652603583476153,1,12.7435546938919,72,8,1
AEG26,A,Grassland,Grassland_medium,Grassland_medium,0,484.381595382828,0,0,9.07759638653729,3.50157977825792,0,2.26399782623956,0.49003966064849,1,11.4868527497623,64,12,0
AEG27,A,Grassland,Grassland_low,Grassland_low,0,394.142045847188,0,0,12.1365755770543,4.07140024080673,0,2.1799586496831,0.305731843466381,1,12.6446635595223,67,6,0
AEG28,A,Grassland,Grassland_low,Grassland_low,0,484.243120140583,0,0,15.3637975358135,4.32705682438352,0,1.52979327681113,0.490585141333952,0,16.2630702796313,74,8,0
AEG29,A,Grassland,Grassland_high,Grassland_high,0,245.903441603096,0,0,8.00979934264051,4.0828976232883,0,2.64639631315244,0.426689136683604,0,15.2993765806102,62,3,0
AEG30,A,Grassland,Grassland_medium,Grassland_medium,0,881.6354273815,0,0,9.29233308693053,4.86391216857367,0,1.74443545055606,0.523930070444135,0,12.342093128369,52,3,0
AEG31,A,Grassland,Grassland_low,Grassland_low,0,641.377679109177,0,0,11.1160601312764,5.22610388522653,0,1.28102832291282,0.352351041793209,0,11.6630316208664,56,4,0
AEG32,A,Grassland,Grassland_low,Grassland_low,0,254.299627487079,0,0,7.57881974093279,3.21087703024707,0,2.80284601146947,0.608022710352778,0,9.14894920265331,51,5,0
AEG33,A,Grassland,Grassland_low,Grassland_low,0,594.278803470949,0,0,14.2259415449945,4.22996228548082,0,1.34432367256659,0.478759031048369,0,11.0357005046168,60,6,0
AEG34,A,Grassland,Grassland_low,Grassland_low,0,697.255082176397,0,0,12.7944016160276,4.17526631622994,0,1.90624337472591,0.809007181700984,0,20.0348741879575,52,1,0
AEG35,A,Grassland,Grassland_medium,Grassland_medium,0,750.203546092478,0,0,10.6641069763887,3.71960864696534,0,1.30017185570757,0.575919974025625,0,9.76576324644762,35,1,0
AEG36,A,Grassland,Grassland_medium,Grassland_medium,0,877.658209710851,0,0,9.4185566418451,4.24816006464369,0,0.79773466676544,0.219328658127985,0,7.667533926432,34,2,0
AEG37,A,Grassland,Grassland_medium,Grassland_medium,0,1204.40054691869,0,0,16.669585124266,5.32138366268195,0,1.27532637777923,0.377487045852563,0,11.2603207086742,41,3,1
AEG38,A,Grassland,Grassland_low,Grassland_low,0,679.972559122622,0,0,7.5268327713479,4.52857612670726,0,0.989276935856905,0.438221944400459,0,13.7327980178361,42,1,0
AEG39,A,Grassland,Grassland_medium,Grassland_medium,0,1092.07658140776,0,0,15.7068875778008,4.91482845766724,0,1.01943903711942,0.321256265595636,0,9.1794458027923,30,2,0
AEG40,A,Grassland,Grassland_high,Grassland_high,0,881.421648205497,0,0,17.8214198495319,4.25410534499706,0,1.39460055451416,0.293917335814071,0,15.7402053280292,50,6,0
AEG41,A,Grassland,Grassland_high,Grassland_high,0,585.167914135384,0,0,14.3166432756905,3.58297062071884,0,1.96268787744929,0.433775638983412,0,16.3849864887613,40,1,0
AEG42,A,Grassland,Grassland_high,Grassland_high,0,934.35485711661,0,0,15.2826176619634,5.15716845959595,0,0.644018779858956,0.734020558279199,0,11.8209880699106,33,2,0
AEG43,A,Grassland,Grassland_medium,Grassland_medium,0,437.292447393473,0,0,8.74676223485866,4.43876756551876,0,0.514598213008988,0.700670985596657,0,7.77037846235088,35,4,1
AEG44,A,Grassland,Grassland_high,Grassland_high,0,704.969651499761,0,0,10.9070322209157,4.45007293985359,0,0.954828996774793,0.126827723812268,0,14.8571346221784,42,9,0
AEG45,A,Grassland,Grassland_medium,Grassland_medium,0,836.022070678554,0,0,17.6174060594904,4.62790224448447,0,1.86645068724444,0.271298644768275,0,14.3361680725766,39,8,0
AEG46,A,Grassland,Grassland_medium,Grassland_medium,0,179.449737927039,0,0,7.67708600491741,4.54211232396241,0,1.8249558516677,0.416074088383427,0,15.0882280355897,46,3,0
AEG47,A,Grassland,Grassland_low,Grassland_low,0,582.737466833566,0,0,10.0819946146044,4.62157678925269,0,0.609403770713226,0.625016525778262,1,10.6554032940573,61,8,0
AEG48,A,Grassland,Grassland_low,Grassland_low,0,595.652739934301,0,0,8.22871742998638,3.98835698891171,0,1.87844187479692,0.164586719423005,1,8.47436292009474,59,9,0
AEG49,A,Grassland,Grassland_low,Grassland_low,0,641.137274323397,0,0,12.5335703601215,4.80450680113165,0,2.38840469845882,0.359801404421707,0,14.0836250715774,62,1,0
AEG50,A,Grassland,Grassland_medium,Grassland_medium,0,772.810751560604,0,0,9.05623793808784,4.82447512810553,0,1.34601408809419,0.504597306800961,0,11.8498735555319,46,1,1
AEW01,A,Forest,Forest_Coniferous,Forest_even-aged,0,0,148.113116739109,23590.9289545572,17.3163176784321,8.46360789755532,1,1.2807013008919,0.92890605792285,0.5,11.9551957015242,82,17,4
AEW02,A,Forest,Forest_Coniferous,Forest_even-aged,0,0,174.44695755889,24341.212613797,26.207996666921,6.96078473158829,1,1.25418852151019,1.34414163147188,0,15.6243634686685,96,19,3
AEW03,A,Forest,Forest_Coniferous,Forest_even-aged,0,0,148.891742745933,40534.3943443236,20.4695864621372,11.0814664849108,1.5,1.17215109914065,1.39814266468929,0,17.6976475050536,96,18,5
AEW04,A,Forest,Forest_Deciduous,Forest_even-aged,0,0,139.769395568659,9389.17428872204,7.37203485761784,6.1247756311129,0,0.517275604219315,1.40021078601168,0.5,8.99723495007642,26,14,4
AEW05,A,Forest,Forest_Deciduous,Forest_even-aged,0,0,107.342452468279,28388.7205377013,26.0053422746477,13.5754641529475,1,0.979223153029906,1.1640104590255,0.5,21.6089482371845,59,18,3
AEW06,A,Forest,Forest_Mixed,Forest_even-aged,0,0,149.323443061628,19643.2706874671,24.6134310707456,10.6065063546304,0.5,0.198437918011462,1.45869882583793,0.5,24.120250812449,44,20,3
AEW07,A,Forest,Forest_Mixed,Forest_uneven-aged,0,0,151.266126444731,38226.6823377694,7.18304476322115,6.97218085283849,1,0.100897691551678,1.29411779013908,0.5,2.69373334425441,11,22,3
