Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
AEG01,A,Grassland,Grassland_medium,Grassland_medium,0,982.644845718854,0,0,0.876169903600519,4.04493247033154,0,1.73551198879917,0.359947073763825,0,0.865627582484109,0.655737704918033,0.125,0
AEG02,A,Grassland,Grassland_high,Grassland_high,0,1086.60070093387,0,0,0.80715188597317,4.45259529025077,0,1.78899969088489,0.776825115238974,0,0.932955620737903,0.475409836065574,0.25,0
AEG03,A,Grassland,Grassland_medium,Grassland_medium,0,481.764738940393,0,0,0.532180547603715,4.33032538130418,0,0.989070095399965,0.237460246618957,0,1,0.573770491803279,0.375,0
AEG04,A,Grassland,Grassland_medium,Grassland_medium,0,249.416488233012,0,0,0.620036127486083,3.91650268963165,0,1.11144505930002,0.626559920686551,0,0.736552355496078,0.442622950819672,0.375,1
AEG05,A,Grassland,Grassland_medium,Grassland_medium,0,531.393491642853,0,0,0.792106734823487,5.67942002309651,0,0.940992682111261,0.257262935799447,0,0.785323376315107,0.426229508196721,0.125,1
AEG06,A,Grassland,Grassland_high,Grassland_high,0,387.931166544487,0,0,0.747576846491171,5.33566729642702,0,1.19049665708943,0.221398664714889,0,0.648001768531376,0.672131147540984,0.125,0
AEG07,A,Grassland,Grassland_low,Grassland_low,0,249.200218852698,0,0,0.648681489376325,3.8391649902692,0,1.84812877086172,0.457661297385612,1,0.623358902420663,0.918032786885246,1,1
AEG08,A,Grassland,Grassland_low,Grassland_low,0,403.828766251144,0,0,0.806295265481389,5.13134374060939,0,0.632318575715801,0.754984465811522,0,0.80081914742956,1,0.375,0
AEG09,A,Grassland,Grassland_low,Grassland_low,0,-8.55020422530756,0,0,0.46468453172702,4.49745890933389,0,1.90488560859791,0.23065076229503,0,0.593842004005637,1,1,1
AEG10,A,Grassland,Grassland_low,Grassland_low,0,186.381412750278,0,0,0.668214046502293,5.35017610091099,0,1.47107232633677,0.388705538130729,0,0.710165984914445,1,0.25,0
AEG11,A,Grassland,Grassland_high,Grassland_high,0,1094.74590631279,0,0,0.794168111966775,4.9243354909907,0,0.632748088910953,0.37646224558359,0,0.664657086499606,0.704918032786885,0.25,1
AEG12,A,Grassland,Grassland_high,Grassland_high,0,1268.76778111092,0,0,0.718820620557949,5.15792096929872,0,0.902760524683408,0.357904872058315,0,1,0.60655737704918,0,0
AEG13,A,Grassland,Grassland_high,Grassland_high,0,875.249299245281,0,0,0.77231857829172,5.03417229271948,0,1.61845764461468,0.94702750316803,0,0.732016966339934,0.475409836065574,0.25,0
AEG14,A,Grassland,Grassland_high,Grassland_high,0,1031.14973550893,0,0,0.791005318818549,4.15875493691355,0,1.13694485758312,0.481580840487669,0,0.963754553779723,0.491803278688525,0.125,0
AEG15,A,Grassland,Grassland_high,Grassland_high,0,1592.53893393561,0,0,0.900992748986581,4.60019109220162,0,0.421397801518307,0.280261497463928,0,0.849257680497356,0.639344262295082,0.375,0
AEG16,A,Grassland,Grassland_medium,Grassland_medium,0,668.030256362562,0,0,0.94250463500728,3.74804208866974,0,1.13414627134456,0.265653914611449,0,0.939976100981592,0.704918032786885,0.25,0
AEG17,A,Grassland,Grassland_high,Grassland_high,0,447.43912257645,0,0,0.794039262505652,4.58439842169006,0,0.921760486722518,0.360711867118528,0,0.910361283748194,0.80327868852459,0.25,0
AEG18,A,Grassland,Grassland_high,Grassland_high,0,1263.6337945073,0,0,0.731526777878243,4.15257894335194,0,1.06224595662841,0.290109661449324,0,0.666926937035536,0.59016393442623,0.25,0
AEG19,A,Grassland,Grassland_high,Grassland_high,0,155.011129216473,0,0,0.542858757381636,4.76858510194345,0,0.876721701336223,0.319045961543073,0,0.438297390576128,0.491803278688525,0.375,0
AEG20,A,Grassland,Grassland_medium,Grassland_medium,0,531.358548859122,0,0,0.852262087374525,4.37323960313817,0,1.17775118787856,0.378385772937169,0,0.884665467576612,0.557377049180328,0,0
AEG21,A,Grassland,Grassland_high,Grassland_high,0,1355.02446568492,0,0,0.897263922987722,5.35648651427417,0,1.31680412173571,0.396053677791712,0,1,0.59016393442623,0.25,0
AEG22,A,Grassland,Grassland_low,Grassland_low,0,212.842762937725,0,0,0.443765285200663,4.07799890478224,0,1.58704910151739,0.335815831026085,0,0.641355463091017,1,0.5,0
AEG23,A,Grassland,Grassland_low,Grassland_low,0,745.4717575529,0,0,0.652595603350935,5.04505259036518,0,0.992918923845617,0.252561423008479,0,0.753803607383501,0.672131147540984,0.375,1
AEG24,A,Grassland,Grassland_high,Grassland_high,0,1464.10813001304,0,0,1,5.08642644034935,0,0.616783100862515,0.405399998139435,0,0.998589064847529,0.557377049180328,0.625,0
