Plot,Exploratory,LU,Core_depth,pH,elevation,Cstock0.10,TWI,prop_clay,Mean_Temp,Mean_precip
AEG01,A,G,16,6.04,691.03,4.750022036,6.57671,0.643,6.00426,910.877495
AEG02,A,G,19,6.46,752.63,2.878257128,5.39581,0.512,8.82291,915.40122375
AEG03,A,G,23,5.93,807.72,4.805360998,7.0087,0.672,7.514075,939.19751
AEG04,A,G,24,5.24,660.1,5.97372599299999,5.00345,0.488,7.761508,928.55124875
AEG05,A,G,21,5.86,717.79,6.27985592399999,7.01538,0.365,7.491645,948.7374875
AEG06,A,G,15,5.62,711.07,6.00710872899999,5.37556,0.588,7.508104,948.7374875
AEG07,A,G,14,7.15,794.66,5.74438214400001,7.15741,0.385,8.087472,952.0137625
AEG08,A,G,11,6.34,760.28,5.62661415,6.34614,0.673,7.3079875,1017.582495
AEG09,A,G,27,6.24,742.5,5.79807164699999,6.20493,0.556,8.0143675,934.4187775
AEG10,A,G,48,5.93,750.27,5.973356295,6.27307,0.647,5.85973333333333,969.53374625
AEG11,A,G,30,5.88,764.48,4.8572499,6.63527,0.643,7.989536,1007.41623125
AEG12,A,G,11,6.57,713.08,5.433370896,5.73039,0.436,7.633692,944.39624
AEG13,A,G,42,5.66,740.46,5.850932641,6.78644,0.643,8.04556,924.7849875
AEG14,A,G,40,6.12,729.05,4.400929699,6.16214,0.521,7.5323975,938.2350075
AEG15,A,G,12,5.82,746.77,5.954342556,5.33101,0.642,7.818295,1039.5912475
AEG16,A,G,23,6.05,723.85,4.8366429225,7.93477,0.528,7.9647,931.37625125
AEG17,A,G,35,6.79,813.11,5.287544107,7.54967,0.618,7.3873,936.10627
AEG18,A,G,28,6.14,765.07,3.05607435799999,5.99907,0.649,7.498086,954.22998875
AEG19,A,G,14,5.74,719.71,5.41715229549999,7.9923,0.637,8.39191,948.7374875
AEG20,A,G,12,6.23,520.63,4.20751602399999,8.24802,0.597,9.386555,1039.417535
AEG21,A,G,14,5.33,732.75,5.53117793799999,6.38298,0.587,7.62618666666667,958.9724675
AEG22,A,G,16,6.08,796.64,5.17689877199999,6.79248,0.708,8.64261,977.97994125
AEG23,A,G,56,6.42,716.16,5.85672718299999,11.928,0.566,7.24301666666667,996.524995
AEG24,A,G,26,5.65,768.85,5.426271374,6.67787,0.638,7.37227,967.21376
AEG25,A,G,40,6.69,786.12,4.754736114,5.49756,0.463,7.85905166666667,954.6699925
AEG26,A,G,17,6.71,704.18,4.06790586499999,4.78686,0.679,8.33241,965.93250375
AEG27,A,G,13,6.31,767.26,5.166698017,5.34138,0.576,8.06277,995.6474625
AEG28,A,G,20,5.92,783.88,4.613091404,6.69283,0.599,9.00167,1033.59878625
AEG29,A,G,17,5.97,684.93,5.62661415,7.29356,0.566,7.973395,963.28247875
AEG30,A,G,21,6.85,696.6,4.898322207,6.71256,0.556,8.06277,1021.8999875
AEG31,A,G,29,5.98,728.03,5.179921408,5.81848,0.595,8.97039333333333,1021.8999875
AEG32,A,G,20,5.24,715.44,3.59897964299999,8.95942,0.461,7.752925,1028.9674925
AEG33,A,G,20,5.58,801.64,4.601764705,6.34722,0.597,8.97039333333333,1032.383705
AEG34,A,G,27,6.05,773.89,7.07469421299999,8.4263,0.423,7.81345,1035.7524875
AEG35,A,G,60,5.3,752.49,3.734898714,9.36226,0.446,7.9908,969.37751
AEG36,A,G,35,5.74,757.26,4.615918132,6.90753,0.588,8.49493,978.237465
AEG37,A,G,30,5.58,714.9,5.91969804299999,5.99159,0.566,7.848415,969.17128
AEG38,A,G,63,5.19,815.76,3.47594394599999,7.40494,0.451,9.171215,992.10877
AEG39,A,G,25,5.64,702.4,6.163971841,8.01368,0.463,8.74775,940.88877
AEG40,A,G,28,6.71,779.4,4.884763437,7.11323,0.698,8.64261,996.56127
AEG41,A,G,60,6.16,697.25,3.278932686,6.1836,0.541,6.9317525,924.67998375
AEG42,A,G,42,6.88,707.45,5.928233303,8.71307,0.159,7.89279333333333,959.322465
AEG43,A,G,32,6.16,764.28,4.37280443399999,7.10912,0.613,6.79323,971.45127125
AEG44,A,G,24,5.61,682.37,4.564270829,9.38806,0.152,7.9908,923.17876375
AEG45,A,G,50,5.94,733.72,5.32167672099999,8.05619,0.529,7.848415,931.37625125
AEG46,A,G,40,5.45,681.49,5.411932589,5.6019,0.659,7.44635666666667,959.975
AEG47,A,G,21,7.34,720.08,4.78078699800001,5.81293,0.146,8.50795,991.07624875
AEG48,A,G,41,6.32,748.76,3.96371969700001,4.88061,0.295,6.71946,1017.582495
AEG49,A,G,35,5.73,809.81,4.63965620199999,6.95198,0.451,8.85975,1035.7524875
AEG50,A,G,40,5.82,720.1,5.65803738299999,9.9768,0.589,7.973395,967.24124875
AEW01,A,W,55,3.54,747.84,3.387273518,9.41222,0.318,8.38934,1011.27878
AEW02,A,W,13,4.2,737.34,3.66436836549999,7.71779,0.5,6.2825475,912.42124375
AEW03,A,W,50,4.69,693.43,3.92941648399999,7.54296,0.527,7.01620333333333,963.28247875
AEW04,A,W,28,6.04,764.66,4.88993574399999,6.57125,0.486513486513487,7.3283375,937.0125275
