Plot,Region,LU,Core_depth,pH,elevation,TWI,prop_clay,Mean_Temp,Mean_precip,LUI_2007to12
AEG01,A,Grassland,16,6.525,691.03,6.57671,0.643,6.95583666666667,867.921986,1.795
AEG02,A,Grassland,19,6.745,752.63,5.39581,0.512,7.520695,903.986,2.78
AEG03,A,Grassland,23,6.22,807.72,7.0087,0.672,7.1090425,924.630016,1.748333333
AEG04,A,Grassland,24,5.075,660.1,5.00345,0.488,7.0622,902.750002,1.645
AEG05,A,Grassland,21,6.14,717.79,7.01538,0.365,7.16961333333333,920.181994,1.693333333
AEG06,A,Grassland,15,5.865,711.07,5.37556,0.588,7.32128666666667,920.181994,2.076666667
AEG07,A,Grassland,14,7.105,794.66,7.15741,0.385,7.67020666666667,929.10399,0.568333333
AEG08,A,Grassland,11,6.515,760.28,6.34614,0.673,7.37682,999.663976,1.321666667
AEG09,A,Grassland,27,6.7,742.5,6.20493,0.556,7.58571,906.038024,0.725
AEG10,A,Grassland,48,6.075,750.27,6.27307,0.647,6.64179,941.464012,0.91
AEG11,A,Grassland,30,5.49,764.48,6.63527,0.643,7.70844333333333,982.69397,1.943333333
AEG12,A,Grassland,11,6.565,713.08,5.73039,0.436,7.06828333333333,918.28999,1.926666667
AEG13,A,Grassland,42,5.95,740.46,6.78644,0.643,7.4173,885.775976,1.901666667
AEG14,A,Grassland,40,6.71,729.05,6.16214,0.521,7.1781725,932.518016,2.031666667
AEG15,A,Grassland,12,5.675,746.77,5.33101,0.642,7.8774,1002.712012,2.49
AEG16,A,Grassland,23,6.605,723.85,7.93477,0.528,7.396695,898.119996,1.686666667
AEG17,A,Grassland,35,6.86,813.11,7.54967,0.618,7.2278175,907.370008,1.903333333
AEG18,A,Grassland,28,6.87,765.07,5.99907,0.649,7.40612,936.87799,2.088333333
AEG19,A,Grassland,14,5.85,719.71,7.9923,0.637,7.17298333333333,920.181994,2.228333333
AEG20,A,Grassland,12,6.62,520.63,8.24802,0.597,8.83221666666667,1006.655996,1.475
AEG21,A,Grassland,14,5.99,732.75,6.38298,0.587,7.63307333333333,909.699988,3.373333333
AEG22,A,Grassland,16,5.88,796.64,6.79248,0.708,6.71659,952.317968,1.033333333
AEG23,A,Grassland,56,6.77,716.16,11.928,0.566,6.917485,976.167994,1.32
AEG24,A,Grassland,26,6.08,768.85,6.67787,0.638,7.2384325,942.870032,2.2
AEG25,A,Grassland,40,6.965,786.12,5.49756,0.463,7.55503333333333,953.998,0.731666667
AEG26,A,Grassland,17,6.66,704.18,4.78686,0.679,7.60480333333333,948.156006,1.708333333
AEG27,A,Grassland,13,6.145,767.26,5.34138,0.576,7.6126,978.48595,1.206666667
AEG28,A,Grassland,20,6.075,783.88,6.69283,0.599,7.9107,984.820018,0.943333333
AEG29,A,Grassland,17,5.77,684.93,7.29356,0.566,6.97716,941.567968,1.891666667
AEG30,A,Grassland,21,6.645,696.6,6.71256,0.556,7.37751333333333,995.16398,1.53
AEG31,A,Grassland,29,6.55,728.03,5.81848,0.595,7.90816333333333,995.16398,1.313333333
AEG32,A,Grassland,20,5.295,715.44,8.95942,0.461,7.28330333333333,983.441968,0.75
