Grassland_medium,Grassland_high,Grassland_low,Crop,Forest_Deciduous,Forest_Mixed,Forest_Coniferous,Forest_even_aged,Forest_uneven_aged,scenario_no
1,1,1,6,2,2,2,0,0,1
1,1,1,5,3,3,1,0,0,2
2,2,2,2,2,3,2,0,0,3
1,1,1,7,2,2,1,0,0,4
0,0,4,2,0,9,0,0,0,5
0,0,3,5,0,7,0,0,0,6
0,0,3,6,0,6,0,0,0,7
0,4,0,2,0,0,9,0,0,8
0,3,0,5,0,0,7,0,0,9
0,3,0,6,0,0,6,0,0,10
1,1,1,5,0,0,7,0,0,11
1,1,1,6,0,0,6,0,0,12
1,1,1,5,7,0,0,0,0,13
1,1,1,6,6,0,0,0,0,14
1,1,1,5,0,7,0,0,0,15
1,1,1,6,0,6,0,0,0,16
1,0,1,4,3,4,2,0,0,17
1,0,1,7,2,2,2,0,0,18
1,0,1,6,3,3,1,0,0,19
2,1,3,3,4,2,0,0,0,20
2,1,3,3,2,2,2,0,0,21
2,1,3,2,3,3,1,0,0,22
0,1,0,2,3,4,5,0,0,23
0,1,0,6,2,2,4,0,0,24
0,1,0,5,3,3,3,0,0,25
0,1,0,6,4,2,2,0,0,26
0,1,0,5,5,3,1,0,0,27
0,4,0,2,3,4,2,0,0,28
0,3,0,6,2,2,2,0,0,29
0,3,0,5,3,3,1,0,0,30
0,0,4,2,3,4,2,0,0,31
0,0,3,6,2,2,2,0,0,32
0,0,3,5,3,3,1,0,0,33
0,0,0,0,10,5,0,0,0,34
0,0,0,0,7,5,3,0,0,35
5,5,5,0,0,0,0,0,0,36
0,0,0,15,0,0,0,0,0,37
2,2,2,5,2,1,1,0,0,38
1,1,1,5,0,0,0,3,4,39
1,1,1,6,0,0,0,5,1,40
1,1,1,5,0,0,0,5,2,41
2,2,2,2,0,0,0,6,1,42
1,1,1,4,0,0,0,7,1,43
1,1,1,7,0,0,0,4,1,44
0,0,4,2,0,0,0,0,9,45
0,0,3,5,0,0,0,0,7,46
0,0,3,6,0,0,0,0,6,47
0,4,0,2,0,0,0,9,0,48
0,3,0,5,0,0,0,7,0,49
0,3,0,6,0,0,0,6,0,50
1,1,1,5,0,0,0,7,0,51
1,1,1,6,0,0,0,6,0,52
1,1,1,5,0,0,0,0,7,53
1,1,1,6,0,0,0,0,6,54
1,0,1,4,0,0,0,8,1,55
1,0,1,6,0,0,0,3,4,56
1,0,1,7,0,0,0,5,1,57
1,0,1,6,0,0,0,5,2,58
2,1,3,3,0,0,0,5,1,59
2,1,3,2,0,0,0,5,2,60
0,1,0,2,0,0,0,8,4,61
0,1,0,5,0,0,0,3,6,62
0,1,0,6,0,0,0,5,3,63
0,1,0,5,0,0,0,5,4,64
0,1,0,6,0,0,0,7,1,65
0,4,0,2,0,0,0,8,1,66
0,3,0,5,0,0,0,3,4,67
0,3,0,6,0,0,0,5,1,68
0,3,0,5,0,0,0,5,2,69
0,0,4,2,0,0,0,8,1,70
0,0,3,5,0,0,0,3,4,71
0,0,3,6,0,0,0,5,1,72
0,0,3,5,0,0,0,5,2,73
0,0,0,0,0,0,0,7,8,74
0,0,0,0,0,0,0,13,2,75
0,0,0,0,0,0,0,11,4,76
2,2,2,5,0,0,0,4,0,77
1,1,1,3,3,4,2,0,0,78
1,1,1,6,4,2,0,0,0,79
1,1,1,0,4,5,3,0,0,80
0,0,0,5,4,3,3,0,0,81
1,1,1,1,5,4,2,0,0,82
2,2,2,3,3,2,1,0,0,83
1,1,1,5,2,3,2,0,0,84
1,1,1,7,3,2,0,0,0,85
1,1,1,8,2,1,1,0,0,86
1,1,1,3,0,0,9,0,0,87
1,1,1,3,9,0,0,0,0,88
1,1,1,3,0,9,0,0,0,89
1,0,1,7,4,2,0,0,0,90
2,1,3,0,3,4,2,0,0,91
0,1,0,3,5,4,2,0,0,92
0,1,0,6,6,2,0,0,0,93
0,3,0,6,4,2,0,0,0,94
0,0,3,6,4,2,0,0,0,95
0,0,0,1,6,4,4,0,0,96
2,2,2,4,2,2,1,0,0,97
2,2,2,4,3,2,0,0,0,98
1,1,1,3,0,0,0,8,1,99
1,1,1,0,0,0,0,11,1,100
0,0,0,5,0,0,0,9,1,101
1,1,1,1,0,0,0,8,3,102
1,1,1,7,0,0,0,2,3,103
1,1,1,8,0,0,0,3,1,104
1,1,1,3,0,0,0,9,0,105
1,1,1,3,0,0,0,0,9,106
2,1,3,0,0,0,0,8,1,107
2,1,3,2,0,0,0,3,4,108
0,1,0,3,0,0,0,10,1,109
0,1,0,4,0,0,0,8,2,110
2,2,2,4,0,0,0,2,3,111
2,2,2,4,0,0,0,4,1,112
1,1,0,2,7,4,0,0,0,113
1,1,2,5,4,2,0,0,0,114
1,1,0,2,0,0,0,5,6,115
1,1,2,5,0,0,0,3,3,116
2,2,1,3,0,0,0,5,2,117
1,1,2,2,3,4,2,0,0,118
1,1,0,1,4,5,3,0,0,119
0,0,1,4,4,3,3,0,0,120
1,1,0,2,5,4,2,0,0,121
2,2,1,4,3,2,1,0,0,122
1,1,2,4,2,3,2,0,0,123
1,1,0,8,3,2,0,0,0,124
