variable,Region,endangered
Production_livestock,A,0.535714285714286
Production_food,A,0.45
Ric,A,0.833333333333333
Production_timber,A,0.5
Production_energy,A,0.576923076923077
Energy_techno,A,0.84375
Aesthetic,A,0.5
Reg_id,A,0.590909090909091
Production_livestock,H,0.675675675675676
Production_food,H,0.522727272727273
Ric,H,0.92156862745098
C_stock,H,0.878787878787879
Production_timber,H,0.730769230769231
Production_energy,H,0.5
Energy_techno,H,0.625
Aesthetic,H,0.6875
Reg_id,H,0.818181818181818
Leisure,H,0.466666666666667
Production_livestock,S,0.592592592592593
Production_food,S,0.485714285714286
Ric,S,0.923076923076923
Production_timber,S,0.461538461538462
Production_energy,S,0.733333333333333
Energy_techno,S,0.466666666666667
Aesthetic,S,0.666666666666667
Reg_id,S,0.882352941176471
C_stock,A,0.884615384615385
Leisure,A,0.545454545454545
Harvesting,H,0.833333333333333
Hunting,H,0.3
C_stock,S,0.882352941176471
Harvesting,S,0.375
Leisure,S,0.9
Hunting,S,0.411764705882353
Harvesting,A,0.833333333333333
Hunting,A,0.875
Production_livestock,All,0.608695652173913
Production_food,All,0.487394957983193
Ric,All,0.887573964497041
Production_timber,All,0.54945054945055
Production_energy,All,0.596491228070175
Energy_techno,All,0.690140845070423
Aesthetic,All,0.6
Reg_id,All,0.74
C_stock,All,0.881720430107527
Leisure,All,0.611111111111111
Harvesting,All,0.65
Hunting,All,0.485714285714286
