Plot,Acrocephalus_palustris,Acrocephalus_scirpaceus,Alauda_arvensis,Anser_anser,Anthus_pratensis,Anthus_trivialis,Ardea_cinerea,Buteo_buteo,Carduelis_cannabina,Carduelis_carduelis,Carduelis_chloris,Carduelis_spinus,Ciconia_ciconia,Coccothraustes_coccothraustes,Columba_oenas,Columba_palumbus,Corvus_corax,Corvus_corone_cornix,Corvus_corone_corone,Coturnix_coturnix,Cuculus_canorus,Cyanistes_caeruleus,Delichon_urbicum,Dryocopus_martius,Emberiza_calandra,Emberiza_citrinella,Erithacus_rubecula,Falco_tinnunculus,Fringilla_coelebs,Gallinago_gallinago,Garrulus_glandarius,Grus_grus,Hippolais_icterina,Hirundo_rustica,Jynx_torquilla,Lanius_collurio,Locustella_naevia,Lullula_arborea,Luscinia_megarhynchos,Milvus_migrans,Milvus_milvus,Motacilla_alba,Motacilla_flava,Muscicapa_striata,Oenanthe_oenanthe,Parus_cristatus,Parus_major,Parus_palustris,Passer_montanus,Periparus_ater,Pernis_apivorus,Phoenicurus_ochruros,Phoenicurus_phoenicurus,Phylloscopus_collybita,Phylloscopus_trochilus,Pica_pica,Picus_viridis,Prunella_modularis,Pyrrhula_pyrrhula,Regulus_ignicapillus,Regulus_regulus,Saxicola_rubetra,Saxicola_rubicola,Sitta_europaea,Sturnus_vulgaris,Sylvia_atricapilla,Sylvia_borin,Sylvia_communis,Sylvia_curucca,Troglodytes_troglodytes,Turdus_iliacus,Turdus_merula,Turdus_philomelos,Turdus_pilaris,Turdus_viscivorus,Vanellus_vanellus,Accipiter_gentilis,Aegithalos_caudatus,Apus_apus,Certhia_brachydactyla,Certhia_familiaris,Corvus_monedula,Dendrocopos_major,Dendrocopos_medius,Dendrocopos_minor,Dendrocopos_syriacus,Ficedula_hypoleuca,Ficedula_parva,Fringilla_montifringilla,Loxia_curvirostra,Oriolus_oriolus,Parus_montanus,Passer_domesticus,Phasianus_colchicus,Phylloscopus_bonelli,Phylloscopus_sibilatrix,Picus_canus,Scolopax_rusticola,Streptopelia_turtur,Strix_aluco,Sylvia_nisoria,Crex_crex,Emberiza_schoeniclus,Perdix_perdix
AEG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG03,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG07,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG08,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG09,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
