Year;Exploratory;EP_PlotID;isVIP;isMIP;TotalGrazing;TotalMowing;TotalFertilization
2006;ALB;AEG1;yes;yes;0;2;50
2006;ALB;AEG2;yes;yes;0;3;196.9
2006;ALB;AEG3;yes;yes;0;2;64.6
2006;ALB;AEG4;yes;yes;110.7061503;1;50
2006;ALB;AEG5;yes;yes;113.75;1;50
2006;ALB;AEG6;yes;yes;414.375;1;50
2006;ALB;AEG28;no;no;52.29083665;0;0
2006;ALB;AEG29;no;no;50.36827195;1;19.8
2006;ALB;AEG30;no;yes;124.0875912;0;0
2006;ALB;AEG31;no;yes;59.57943925;0;0
2006;ALB;AEG32;no;no;36.40776699;0;0
2006;ALB;AEG33;no;yes;77.61966365;0;0
2006;ALB;AEG34;no;no;56.81818182;0;0
2006;ALB;AEG35;no;no;0;2;35
2006;ALB;AEG36;no;no;0;2;35
2006;ALB;AEG37;no;no;0;2;50
2006;ALB;AEG38;no;yes;0;2;32.3
2006;ALB;AEG39;no;yes;0;2;50
2006;ALB;AEG40;no;no;0;2;42.57
2006;ALB;AEG41;no;no;0;3;78.45
2006;ALB;AEG42;no;no;354.3307087;1;64.6
2006;ALB;AEG43;no;no;200;1;54.91
2006;ALB;AEG44;no;yes;372.4137931;0;0
2006;ALB;AEG45;no;yes;0;2;0
2006;ALB;AEG7;yes;yes;34.28571429;0;0
2006;ALB;AEG8;yes;yes;135.8024691;0;0
2006;ALB;AEG9;yes;yes;29.05569007;0;0
2006;ALB;AEG10;no;yes;0;1;0
2006;ALB;AEG11;no;no;0;2;35
2006;ALB;AEG12;no;no;0;2;50
2006;ALB;AEG13;no;no;0;2;50
2006;ALB;AEG14;no;no;0;2;124.6
2006;ALB;AEG15;no;yes;0;3;129.2
2006;ALB;AEG16;no;no;135.4959451;1;47.3
2006;ALB;AEG17;no;no;0;3;80.75
2006;ALB;AEG18;no;yes;0;3;189.2
2006;ALB;AEG19;no;no;258.4795322;1;50
2006;ALB;AEG20;no;yes;316.4383562;0;50
2006;ALB;AEG21;no;yes;911.9453925;0;378.4
2006;ALB;AEG22;no;yes;15.49586777;1;0
2006;ALB;AEG23;no;no;0;2;0
2006;ALB;AEG24;no;no;132.9787234;2;81.3
2006;ALB;AEG25;no;no;54.66908432;0;0
2006;ALB;AEG26;no;yes;50;0;0
2006;ALB;AEG27;no;no;180.9954751;0;0
2006;HAI;HEG17;no;no;35.27525387;0;0
2006;HAI;HEG18;no;no;9.337134711;0;0
2006;HAI;HEG19;no;no;35.27525387;0;0
2006;HAI;HEG20;no;yes;8.881271424;0;0
2006;HAI;HEG21;no;yes;32.55988024;0;0
2006;HAI;HEG22;no;no;62.18274112;1;0
2006;HAI;HEG23;no;no;170.4545455;1;0
2006;HAI;HEG24;no;no;237.1929825;1;0
2006;HAI;HEG25;no;no;535.0318471;0;0
2006;HAI;HEG26;no;yes;0;1;8.51
2006;HAI;HEG27;no;yes;0;1;60
2006;HAI;HEG28;no;yes;93.13432836;1;27
2006;HAI;HEG29;no;no;131.092437;1;27
2006;HAI;HEG30;no;yes;47.15127701;2;60
2006;HAI;HEG31;no;no;22.16521293;2;36
2006;HAI;HEG32;no;no;419.4923077;1;60
2006;HAI;HEG33;no;yes;172.0823799;0;27
2006;HAI;HEG34;no;no;46.37809187;1;64.6
2006;ALB;AEG46;no;yes;357.0772059;0;0
2006;ALB;AEG47;no;no;225.5859375;0;0
2006;ALB;AEG48;no;no;46.875;0;0
2006;ALB;AEG49;no;yes;67.56756757;0;0
2006;ALB;AEG50;no;no;0;2;99
2006;HAI;HEG1;yes;yes;0;2;115
2006;HAI;HEG2;yes;yes;0;3;100
2006;HAI;HEG3;yes;yes;0;3;100
2006;HAI;HEG4;yes;yes;174.4279946;1;27
2006;HAI;HEG5;yes;yes;46.78362573;2;60
2006;HAI;HEG6;yes;yes;46.37809187;1;64.6
2006;HAI;HEG7;yes;yes;406.4287911;0;8.51
2006;HAI;HEG8;yes;yes;406.4287911;0;8.51
2006;HAI;HEG9;yes;yes;64.28571429;0;0
2006;HAI;HEG10;no;yes;0;1;8.51
2006;HAI;HEG11;no;yes;0;1;8.51
2006;HAI;HEG12;no;no;876.2666667;1;60
2006;HAI;HEG13;no;no;58.0812446;3;0
2006;HAI;HEG14;no;no;9.618208517;1;60
2006;HAI;HEG15;no;no;32.60188088;1;60
2006;HAI;HEG16;no;no;19.8757764;0;0
2006;SCH;SEG6;yes;yes;83.68918446;1;0
2006;SCH;SEG7;yes;yes;122.3103058;0;0
2006;SCH;SEG8;yes;yes;28;0;0
2006;SCH;SEG9;yes;yes;317.2890995;0;0
2006;SCH;SEG10;no;no;0;2;127
2006;SCH;SEG11;no;no;0;2;127
2006;SCH;SEG12;no;no;0;3;113
2006;SCH;SEG13;no;no;0;2;67
2006;SCH;SEG14;no;no;122.3103058;0;0
2006;SCH;SEG15;no;no;0;1;0
