Plot;Plotn;Explo;Biomass2008;Biomass2010;Biomass2011;Biomass2012;Biomass2013;Biomass2014;Biomass2015;Biomass2016;Biomass2017;SoilOrganicC;Pmic.2011;Pmic.2014;NaHCO3_Pi;OlsenPi2014;Nshoot.2009;Pshoot.2009;Nshoot.2010;Pshoot.2010;Nshoot.2011;Pshoot.2011;Nshoot.2012;Pshoot.2012;Nshoot.2013;Pshoot.2013;Nshoot.2014;Pshoot.2014;Potential.nitrification2011;Nmic.2014;Nmic.2011;NH4.2014;NO3.2014;Potential.nitrification2014;Bulk.density2011;Soil.C.stock;Bulk.density2014;N_leaching_risk2015;Root.decomposition;herbivory.20172018;P_loss2011;P_leaching_risk2015;Urease;beta_Glucosidase;Xylosidase;N_Acetyl_beta_Glucosaminidase;Phosphatase;DEA;Aggregation;mAMFhyphae;Groundwater.recharge2010;Groundwater.recharge2011;Groundwater.recharge2012;Groundwater.recharge2013;Groundwater.recharge2014;Groundwater.recharge2015;Groundwater.recharge2016;amoA_AOA.2016;amoA_AOB.2016;nxrA_NS;16S_NB;amoA_AOA.2011;amoA_AOB.2011;nifH;soil.depth;PH;Biomass2009;Biomass;Root.biomass;Groundwater.recharge;herbivory.2013;Litter.decomposition;Parasitoid.traps;Total.pollinators;PRI;NRI;pathogen.infection;dung.decomposition;soilCflxs;soilNflxs
AEG1;AEG01;ALB;995;397;250;261.1;500.5;537.3;449.85;201;153.25;84.98;41.6516945513186;39.7733946707674;31.5330901511204;39.4113712374582;2.455;0.345;2.355;0.256;2.538;0.287;1.841;0.267;2.29;0.253;1.82;0.21;1522.78;172.257567634128;148.873151868121;0;0.0352462497969009;702.899656767009;0.52;4.3575454485;0.769444033280615;1690.1;18.03333333;0.0214529765176875;61.2283699648038;135.228005028877;213.73;2756.46235794096;442.90348711002;758.131451942472;1491.4910360026;2.87135190878185;45.2303945816369;14.35643325;795.179001909145;598.071189142771;582.477191080235;806.980456157234;615.00775066235;266.597106539888;538.762109622372;116883048.86747;1876871.71084337;39827.7397590361;4496408.6746988;40500000;501000;654000;17;6.525;305;339.444444444444;2.486;600.439257873428;1.22260633606626;NA;9;132;0.97450104335802;0.999997263763404;NA;NA;1.47258669249103;0.032478710426349
AEG2;AEG02;ALB;1165;319;234;206.1;390.5;319.3;334.3;214.5;164.75;71.04;37.0846348133924;NA;28.45;29.1683168316832;2.684;0.362;2.744;0.292;3.089;0.308;2.429;0.28;2.308;0.271;2.27;0.28;2179.33;138.579804589103;153.908927698849;0;0.0164258744432903;642.789535370146;0.55;3.8896166274;0.781076760784407;0;32.26666667;0.00401173638187945;70.636928864027;94.660056381249;291.13;2277.72730132537;423.224743347637;620.56280871024;1114.49957706381;3.13093905164904;NA;NA;828.230811264076;502.169387434717;640.173951360167;851.650019127106;547.914959317143;253.217342789976;575.555976912742;73317424.7619048;9883367.61904762;410453.333333333;12654323.8095238;83200000;4490000;2280000;21;6.745;303.5;276.216666666667;2.172;599.84463545799;0.320910215715043;NA;19;662;NA;0.999998255949775;NA;-0.447200814495017;1.00129959372775;0.283795813650801
AEG3;AEG03;ALB;640;152;92;203.9;214.3;197.05;144.25;130.5;66.6;59.53;56.9374105465432;48.7494891960419;5.01036054703688;5.86138613861386;2.495;0.286;2.39;0.175;2.423;0.234;1.763;0.21;2.415;0.174;2;0.29;337.69;111.503388444132;113.218294569927;0.158250457049253;0.0161932808673824;14.9255927838732;0.78;4.5253966475;0.858382566246882;1988.4;14.63333333;0.0197541247604165;102.423709680677;188.413868898765;131.29;1309.37851227693;249.99479936002;283.555044417733;1690.10621892617;1.44428453740474;NA;NA;1088.51601768307;675.414346817428;777.801338212874;1099.36850686913;970.398800377495;337.717724857561;591.37376254319;58422551.5243243;1042905.25405405;74504.5794594595;11165361.1243243;33400000;354000;16100000;23;6.22;138;148.733333333333;1.126;791.512928194393;1.66635004445765;NA;2;510;0.991862958966826;0.999962906967804;NA;-0.176913200926962;-0.352954130486837;-0.394195864799677
AEG4;AEG04;ALB;980;239;240;316.6;330.9;371.05;246.35;165;189.5;44.31;49.2783304076458;52.163662497953;16.0887307732552;24.44;1.696;0.243;2.394;0.279;2.47;0.267;1.901;0.277;1.991;0.271;2.21;0.32;10.26;75.5171656299097;64.9485538295203;0;0.0218521550974945;7.06621399502712;0.91;4.0190965875;0.961254652615597;1915.46666666667;30.43333333;0.00335583847659941;78.1358123877345;169.627267900329;69.55;618.670491984773;169.147649987106;241.880852033536;1738.19419554884;0.681676484037867;NA;NA;763.146842033044;494.404660829671;660.201581440361;824.24413080916;520.577451545315;282.73008244792;473.518485382594;61345233.6761905;6872693.02857143;74175.6342857143;12725852.647619;62600000;1510000;50900000;24;5.075;650;305.377777777778;0.512;574.117604926866;0.154218863901644;NA;24;NA;0.981369432845597;0.999997460902959;NA;-0.560677488020771;-0.91598615557957;-0.487244535877588
AEG5;AEG05;ALB;705;288;296;234.5;313;263.75;241.8;253.5;195.25;90.19;56.2951119232526;NA;45.8881578947369;53.8590604026846;1.886;0.249;3.992;0.256;2.795;0.291;2.411;0.305;2.106;0.27;2.38;0.31;1233.4;167.008484365946;158.647337345239;0;0.0271857709221257;356.105188349848;0.58;5.1124069679;0.80649702954826;1917.6;30.93333333;0.0102770705940812;31.3621713548721;164.865731557978;240.9;1928.42901343384;386.567387961117;NA;2178.37176208927;2.29798372514897;68.5480338309128;28.7128665;641.406178254414;452.609636544195;593.494241591343;716.635145179832;526.939613535982;256.525379926178;479.576703684546;124509295.177143;3485813.02857143;113453.348571429;19216366.4457143;131000000;6750000;7150000;21;6.14;259.5;260.588888888889;2.106;523.883842673784;1.41953144476552;NA;31;534;NA;0.999996580572774;NA;1.6983337538174;0.729259017465682;-0.00979188979620969
AEG6;AEG06;ALB;760;289;209;393.6;356;282.2;225.9;228;183.8;82.74;43.4088759100069;65.0129055394407;22.7115789473684;36.8940397350993;1.731;0.239;2.247;0.198;2.617;0.265;2.014;0.255;2.405;0.212;2.18;0.3;1075;139.380271906942;155.154873485971;0;0.0249167685790194;186.785026627933;0.67;5.4600472379;0.82314449654452;1224.3;24.93333333;0.00488161651993389;60.8836304043728;172.03094445151;212.51;1764.42372092105;389.323913420354;409.707212561092;2486.70055449454;1.50590269949889;37.6405088269495;18.1709445;713.829562685133;474.335137000533;603.128304086905;742.015046691923;443.797800345708;241.102166781696;613.808684776549;312345981.878453;32476.6408839779;85345.591160221;3634362.6961326;500000000;1250000;11900000;15;5.865;475;293.611111111111;1.86;547.430957481207;NA;NA;50;315;0.967362016804173;0.999996727134506;NA;0.503981300853443;0.36942276553742;-0.102593739526252
AEG7;AEG07;ALB;80;53;13;44.8;28.8;30;10.95;35.5;57.5;52.8;34.5651707341916;28.8455303735802;0.129233976029182;3.94059405940594;1.527;0.129;2.23;0.176;1.671;0.113;1.561;0.127;2.558;0.151;1.88;0.2;96.66;84.3940662268161;85.6418379475873;0;0;34.914995498961;0.8;4.1315553234;0.942754303692931;1960.9;22.7;0.0171312887143893;104.508862803586;190.190036040605;136.54;584.909848037036;99.8170361606996;297.358742213084;884.747732289853;0.26243939907506;NA;NA;642.234501758701;417.620024992475;496.892434723835;682.388135992428;455.920582785475;171.565451426261;477.246470107276;0;5093521.23076923;0;253481.846153846;555000;7370;393000;16;7.105;117;43.3944444444444;1.46;477.695371683779;2.3945194458574;NA;51;236;0.959134943874093;1;NA;-0.219543290219541;-1.00827110461273;-0.60560633877163
AEG8;AEG08;ALB;635;182;100;159.8;120.3;97.65;175.25;92;65.65;86.14;57.5569429791944;45.695094168585;8.92269736842105;5.76;1.641;0.18;1.691;0.152;1.935;0.169;1.703;0.18;2.357;0.217;2.07;0.23;392.67;146.308146519328;135.269178334546;0.176405640895603;0.00421851360062294;103.41511252244;0.58;4.9488703945;0.694587645082566;1930.93333333333;19.66666667;0.00204338480009593;103.92005990911;169.269002590951;159.145742358079;2004.74000047573;294.31107466564;680.414174785078;1872.41874363907;0.875669728671112;53.602317068265;25.522548;1133.49315628996;682.239545727916;843.887908929167;1048.55880727188;719.98907117394;259.508858068184;649.641664153216;676194.461538462;321787.455621302;15340.0047337278;1179593.46745562;4960000;361000;1580000;12;6.515;392;153.85;3.212;762.474144516323;0.738260973857098;NA;8;142;0.984632017521127;0.999940907610289;NA;2.14142605952836;0.669024930149982;-0.474519209620824
AEG9;AEG09;ALB;395;149;32;89.8;184.2;184.3;20.7;45.5;96.95;70.27;38.9754503306225;41.3878449385809;1.77759574032357;4.23411371237458;1.657;0.12;1.832;0.045;1.869;0.136;1.722;0.122;2.384;0.159;1.98;0.24;31.21;104.697626462683;95.8574302661535;0.146232414939888;0;37.8681397658871;0.6;4.2406725578;0.74098558513636;1978.63333333333;22.93333333;0.00824700463601626;105.942970744298;188.917019187996;102.1;888.509832178243;143.285534313838;492.468633154588;1363.53400177589;0.320268981750298;68.5755009641989;19.8354585;837.011115892938;504.76991604134;685.861495007878;859.048516239468;674.805349271472;275.79534155079;508.841877212224;0;131512.491620112;45862.9005586592;3551669.63128492;3310000;40200;6320000;27;6.7;164.5;107.438888888889;2.62;620.87623017373;1.78335760340975;NA;86;221;0.993410520728056;0.999970925377369;NA;0.153083737671424;-0.47246053352776;-0.630376331648806
AEG10;AEG10;ALB;625;270;102;214.4;365.2;364.85;169.6;111.5;165.2;93.71;52.4201105800768;NA;NA;4.98675496688742;1.605;0.102;2.116;0.105;1.934;0.165;1.988;0.162;2.209;0.165;1.88;0.24;1102.15;150.63597273364;177.707365871203;0;0.0142191167038019;35.8041719808574;0.51;4.7948508325;0.648480562599033;1937.93333333333;21.9;0.00524627399703514;103.561433956049;181.991592195288;128.94;1630.07377059333;310.878737922881;566.160895613886;1829.13342364319;0.851733044308018;50.8226888936999;17.26933275;814.765454180186;537.589739045821;657.474272511214;909.446099077698;571.152520714466;263.137756474864;565.085216798061;15663530.6666667;149248;76125.8666666667;10155434.6666667;19500000;221000;4730000;NA;6.075;383.5;238.472222222222;6.242;616.950151257473;2.64561162387927;0.583711507387746;7;310;NA;0.999998674574073;NA;NA;0.36472074240907;-0.41106333241298
