Species,Status,Frequency,Species_correct,ID,Cover
Viola arvensis,A/I,51,Viola_arvensis,1,3.74193548387097
Fallopia convolvulus,A,50,Fallopia_convolvulus,2,10.093023255814
Chenopodium album,I,44,Chenopodium_album,3,18.8301886792453
Polygonum aviculare,I,38,Polygonum_aviculare,4,38.6666666666667
Galium aparine,I,30,Galium_aparine,5,7.02040816326531
Tripleurospermum inodorum,A,28,Tripleurospermum_perforatum,6,25.2068965517241
Capsella bursa-pastoris,I,25,Capsella_bursa_pastoris,7,16.6949152542373
Apera spica-venti,I,22,Apera_spica-venti,8,1
Elymus repens,I,22,Elymus_repens,9,31.5230769230769
Veronica persica,N,19,Veronica_persica,10,21.4565217391304
Geranium pusillum,A,17,Geranium_pusillum,11,1
Myosotis arvensis,A/I,17,Myosotis_arvensis,12,7.70588235294118
Stellaria media,I,16,Stellaria_media,13,22.8088235294118
Bromus sterilis,A,15,Bromus_sterilis,14,17.3939393939394
Papaver rhoeas,A,15,Papaver_rhoeas,15,9.91891891891892
Cirsium arvense,I,13,Cirsium_arvense,16,11.3013698630137
Echinochloa crus-galli,A,12,Echinochloa_crus-galli,17,1
Vicia hirsuta,I,11,Vicia_hirsuta,18,29
Taraxacum officinale,NA,11,Taraxacum_sp,19,7.95918367346939
Brassica napus,K,11,Brassica_sp,20,2.66666666666667
Convolvulus arvensis,I,11,Convolvulus_arvensis,21,12.2222222222222
Centaurea cyanus,A,10,Centaurea_cyanus,22,1
Poa annua,I,10,Poa_annua,23,35.3544303797468
Hordeum vulgare,K,10,Hordeum_vulgare_aggr.,24,23
Conyza canadensis,N,10,Conyza_canadensis,25,2.5
Vicia sativa,I,9,Vicia_sativa_aggr.,26,4.31818181818182
Veronica arvensis,A,9,Veronica_arvensis,27,5.83333333333333
Euphorbia helioscopia,A,9,Euphorbia_helioscopia,28,5.45454545454545
Matricaria recutita,A,9,Matricaria_recutita,29,15.1666666666667
Lamium purpureum,A,8,Lamium_purpureum,30,4.91666666666667
Anagallis arvensis,NA,8,Anagallis_arvensis,31,11.7
Sisymbrium officinale,A,8,Sisymbrium_officinale,32,8.09677419354839
Alopecurus myosuroides,A,8,Alopecurus_myosuroides,33,1
Erodium cicutarium,I,7,Erodium_cicutarium,34,20.8571428571429
Persicaria lapathifolia,I,7,Persicaria_lapathifolium,35,19.25
Avena fatua,A,7,Avena_fatua,36,1
Thlaspi arvense,I,7,Thlaspi_arvense,37,2.36363636363636
Poa trivialis,NA,7,Poa_trivialis,38,14.140625
Galinsoga parviflora,N,6,Galinsoga_parviflora,39,42
Triticum aestivum,NA,6,Triticum_aestivum,40,2.66666666666667
Aethusa cynapium,I,6,Aethusa_cynapium,41,1
Descurainia sophia,A,6,Descurainia_sophia,42,1
Geranium dissectum,A,6,Geranium_dissectum,43,4.64705882352941
Trifolium repens,I,5,Trifolium_repens,44,11.9538461538462
Spergula arvensis,A,4,Spergula_arvensis,45,22.5
Setaria viridis,A,4,Setaria_viridis,46,1
Arabidopsis thaliana,A,4,Arabidopsis_thaliana,47,3.83333333333333
Plantago major,I,4,Plantago_major,48,12.25
Lapsana communis,I,4,Lapsana_communis,49,10.6666666666667
Dactylis glomerata,I,4,Dactylis_glomerata,50,9.70588235294118
Matricaria discoidea,N,4,Matricaria_discoidea,51,19.4915254237288
Daucus carota,NA,4,Daucus_carota,52,5.71428571428571
Lolium perenne,I,4,Lolium_perenne,53,23.953125
Secale cereale,K,4,Secale_cereale,54,1
Silene latifolia,NA,4,Silene_latifolia,55,1
Solanum nigrum,A,4,Solanum_nigrum,56,1
Tanacetum vulgare,A/I,4,Tanacetum_vulgare,57,7
Rumex acetosella,I,3,Rumex_acetosella,58,12.7692307692308
