Region;Crop_type;PROPORTION;Market_value_euro_perT_without_tax;Yield_t_per_ha
A;Wheat;44,976;193,700;7,560
A;Barley;34,428;241,500;7,130
A;Maize;17,893;182,800;8,930
A;Sugarbeet;0,444;28,000;60,890
A;Linum;0,716;500,000;2,000
A;Oilseed rape;1,543;384,250;4,030
A;Strawberrys;0,000;6140,000;9,739
H;Wheat;59,497;193,700;6,810
H;Barley;13,925;241,500;7,530
H;Oilseed rape;19,139;384,250;3,600
H;Alfalfa;6,998;130,000;7,600
H;Maize;0,441;182,800;6,750
S;Wheat;53,527;193,700;6,410
S;Barley;27,652;241,500;6,610
S;Oilseed rape;11,371;384,250;3,120
S;Potato;7,450;209,000;26,530
