Species;Cultural_overall;Justification for cultural importance importance
Abies alba;y;"Song ""O Tannenbaum""; not very species specific and I therefor also listed Picea"
Acer campestre;y;Acer in general is meant to have protective functions (e.g. against witches)
Acer platanoides;y;Acer in general is meant to have protective functions (e.g. against witches)
Acer pseudoplatanus;y;Acer in general is meant to have protective functions (e.g. against witches)
Acer sp;y;Acer in general is meant to have protective functions (e.g. against witches)
Achillea millefolium;;
Achillea millefolium aggr.;;
Acinos arvensis;;
Actaea spicata;;
Adoxa moschatellina;;
Aegopodium podagraria;;
Aesculus hippocastanum;;
Aethusa cynapium;;
Agrimonia eupatoria;;
Agrostis capillaris;;
Agrostis stolonifera;;
Ajuga genevensis;;
Ajuga reptans;;
Alchemilla sp;;
Alchemilla vulgaris aggr.;;
Alliaria petiolata;;
Allium cf oleraceum;;
Allium schoenoprasum;;
Allium ursinum;;
Allium vineale;;
Alnus incana;;
Alopecurus geniculatus;;
Alopecurus myosuroides;;
Alopecurus pratensis;;
Anagallis arvensis;;
Anchusa arvensis;;
Anchusa officinalis;;
Anemone nemorosa;y;anemone sp. in poems and songs
Anemone ranunculoides;y;anemone sp. in poems and songs
Angelica sylvestris;;
Antennaria dioica;;
Anthemis tinctoria;;
Anthoxanthum odoratum;;
Anthriscus caucalis;;
Anthriscus sylvestris;;
Anthyllis vulneraria;;
Apera spica-venti;;
Aphanes arvensis;;
Arabidopsis arenosa;;
Arabidopsis thaliana;;
Arabis hirsuta aggr.;;
Arctium lappa;;
Arctium minus;;
Arctium nemorosum;;
Arctium sp;;
Arctium tomentosum;;
Arenaria serpyllifolia;;
Armeria maritima;;
Arrhenatherum elatius;;
Artemisia vulgaris;;
Arum maculatum;y;
Aruncus dioicus;;
Asarum europaeum;;
Asperula cynanchica;;
Asteraceae sp;;
Astragalus glycyphyllos;;
Athyrium filix-femina;;
Atropa belladonna;y;iconography, poems, etc
Avena fatua;;
Barbarea vulgaris;;
Bellis perennis;y;
Berula erecta;;
Betonica officinalis;;
Betula pendula;y;symbol for different mystic things
Bistorta officinalis;;
Botrychium lunaria;;
Brachypodium pinnatum;;
Brachypodium sylvaticum;;
Brassica napus;;
Brassica rapa;;
Brassica sp;;
Brassicaceae sp;;
Briza media;y;in many songs
Bromus erectus;;
Bromus hordeaceus aggr.incl B commutatus;;
Bromus horderaceus;;
Bromus inermis;;
Bromus ramosus agg;;
Bromus sterilis;;
Bunium bulbocastanum;;
Buphtalmum salicifolium;;
Calamagrostis arundinacea;;
Calamagrostis canescens;;
Calamagrostis epigejos;;
Calluna vulgaris;y;poems, songs, iconography
Calystegia sepium;;
Campanula glomerata;y;campanula spp in songs and poems
Campanula patula;y;campanula spp in songs and poems
Campanula persicifolia;y;campanula spp in songs and poems
Campanula rapunculoides;y;campanula spp in songs and poems
Campanula rotundifolia;y;campanula spp in songs and poems
Campanula sp;y;campanula spp in songs and poems
Campanula trachelium;y;campanula spp in songs and poems
Capsella bursa pastoris;;
Capsella bursa-pastoris;;
Cardamine bulbifera;;
Cardamine flexuosa;;
Cardamine hirsuta;;
Cardamine impatiens;;
Cardamine pratensis;;
Cardaminopsis arenosa;;
Carduus defloratus;;
Carex acutiformis;;
Carex alba;;
Carex caryophyllea;;
Carex digitata;;
Carex flacca;;
Carex hirta;;
Carex montana;;
Carex muricata agg;;
Carex muricata aggr.;;
Carex ornithopoda;;
Carex ovalis;;
Carex pallescens;;
Carex pilulifera;;
Carex remota;;
Carex sylvatica;;
Carex vulpina;;
Carlina acaulis;y;popular
Carlina vulgaris;;
Carpinus betulus;y;a gift for specific events (weddings or so) as it represents longevity
Carum carvi;;
Caryophyllaceae sp;;
Centaurea cyanus;y;songs, poems, iconography
Centaurea jacea;;
Centaurea scabiosa;;
Centaurium erythraea;y;because oft its nice german name (tausendgüdenkraut) appearing often in poems
Cephalanthera damasonium;;
Cephalanthera rubra;;
Cerastium arvense;;
Cerastium glomeratum;;
Cerastium holosteoides;;
Cerastium pumilum aggr.;;
Cerastium semidecandrum;;
Chaerophyllum aureum;;
Chaerophyllum temulum;;
Chamaespartium sagittale;;
Chenopodium album;;
Chenopodium polyspermum;;
Chenopodium sp;;
Chrysosplenium alternifolium;;
Cichorium intybus;y;myths
Circaea lutetiana agg;;
Cirsium acaule;;
Cirsium arvense;;
Cirsium eriophorum;;
Cirsium oleraceum;;
Cirsium palustre;;
Cirsium vulgare;;
Clinopodium vulgare;;
Colchicum autumnale;y;poems etc
Conium maculatum;y;poems, myths
Consolida regalis;;
Convallaria majalis;y;songs, poems
Convolvulus arvensis;;in one brothers grimms fairy (mother earth had a glass of wine ...)
Conyza canadensis;;
Cornus sanguinea;;
Corylus avellana;y;symbol of life etc.
Cotoneaster integerrimus;;
Crataegus sp;;myths
Crepis biennis;;
Crepis sp;;
Crepis tectorum;;
Cruciata laevipes;;
Cynosurus cristatus;;
Cytisus scoparius;;
Dactylis glomerata;;
Dactylis polygama;;
Danthonia decumbens;;
Daphne mezereum;y;"myths; against witches"
Daucus carota;;
Deschampsia cespitosa;;
Deschampsia flexuosa;;
Descurainia sophia;;
Dianthus carthusianorum;;
Digitalis purpurea;y;myths
Dipsacus fullonum;;
Dryopteris carthusiana;;
Dryopteris dilatata;;
Dryopteris filix-mas;;
Echinochloa crus-galli;;
Elymus caninus;;
Elymus repens;;
Epilobium angustifolium;;
Epilobium hirsutum;;
Epilobium montanum;;
Epilobium parviflorum;;
Epilobium sp;;
Epilobium tetragonum;;
Epipactis helleborine agg;;
Equisetum arvense;y;well known
Equisetum palustre;;
Erigernon annuus;;
Erigeron acris;;
Erodium cicutarium;;
Erophila verna;;
Eryngium campestre;;
Erysimum cheiranthoides;;
Euonymus europaea;;
Eupatorium cannabinum;;
Euphorbia amygdaloides;;
Euphorbia cyparissias;;
Euphorbia dulcis;;
Euphorbia exigua;;
Euphorbia helioscopia;;
Euphorbia verrucosa;;
Euphrasia rostkoviana aggr.;;
Euphrasia sp cf;;
Fagus sylvatica;;
Falcaria vulgaris;;
Fallopia convolvulus;;
Fallopia dumetorum;;
Festuca altissima;;
Festuca arundinacea;;
Festuca gigantea;;
Festuca ovina aggr.;;
Festuca pratensis;;
Festuca rubra;;
Festuca rubra aggr.;;
Festulolium loliaceum;;
Filipendula ulmaria;;
Fragaria vesca;;
Fragaria viridis;;
Frangula alnus;;
Fraxinus excelsior;y;myths
Fumaria officinalis;;
Gagea lutea;;
Gagea pratensis;;
Galeopsis bifida;;
Galeopsis pubescens;;
Galeopsis sp;;
Galeopsis tetrahit;;
Galinsoga parviflora;;
Galium aparine;;
Galium mollugo agg;;
Galium mollugo aggr.;;
Galium odoratum;y;myths
Galium pumilum;;
Galium rotundifolium;;
Galium saxatile;;
Galium sylvaticum;;
