Scenario_name;Scenario_type;Scenario_description;Forest_classification;Region: mixed;Region:coniferous;Region: deciduous;EA;UA;Region:low int;Region:med int;Region:high int;Region;Forest;Grassland;Crop;Forest_Mixed;Forest_Coniferous;Forest_Deciduous;Forest_even_aged;Forest_uneven_aged;Grassland_low;Grassland_medium;Grassland_high;check_sum_forest_type;check_sum_forest_age;;;
Baseline;Baseline;Current proportion of LU types;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;1.92;6.72;39.36;0;0;13.12;10.88;8;101;48;;;
Baseline;Baseline;Current proportion of LU types;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;1.08;2.43;23.49;0;0;3.38;4.55;5.07;100;27;;;
Baseline;Baseline;Current proportion of LU types;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;5;26;19;0;0;6.15;4.2;4.65;100;50;;;
Baseline;Baseline;Current proportion of LU types;Type;0.064;0.2812;0.6548;67.33333333;32.66666667;0.3775;0.327166667;0.295333333;All;41.66666667;20;38.66666667;2.508;10.6105;30.8315;0;0;9.267166667;7.8385;6.527666667;106.25;41.66666667;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deforestation;Constrained;Reforestation;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;64;16;21;2.56;8.96;52.48;0;0;6.56;5.44;4;101;64;;;
Deforestation;Constrained;Reforestation;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;33.5;6.5;60;1.34;3.015;29.145;0;0;1.69;2.275;2.535;100;33.5;;;
Deforestation;Constrained;Reforestation;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;57.5;7.5;35;5.75;29.9;21.85;0;0;3.075;2.1;2.325;100;57.5;;;
Deforestation;Constrained;Reforestation;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;51.66666667;10;38.66666667;3.216666667;13.95833333;34.49166667;0;0;3.775;3.271666667;2.953333333;100.3333333;51.66666667;;;
Deforestation;Constrained;Deforestation;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;24;56;21;0.96;3.36;19.68;0;0;22.96;19.04;14;101;24;;;
Deforestation;Constrained;Deforestation;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;13.5;26.5;60;0.54;1.215;11.745;0;0;6.89;9.275;10.335;100;13.5;;;
Deforestation;Constrained;Deforestation;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;25;40;35;2.5;13;9.5;0;0;16.4;11.2;12.4;100;25;;;
Deforestation;Constrained;Deforestation;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;20.83333333;40.83333333;38.66666667;1.333333333;5.858333333;13.64166667;0;0;15.41666667;13.17166667;12.245;100.3333333;20.83333333;;;
Deforestation;LU_change;Add 50% forests;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;73;16.61538462;10.90384615;2.92;10.22;59.86;0;0;6.812307692;5.649230769;4.153846154;100.5192308;73;;;
Deforestation;LU_change;Add 50% forests;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;52;8.547945205;39.45205479;2.08;4.68;45.24;0;0;2.849030137;2.849030137;2.849030137;99.99914521;52;;;
Deforestation;LU_change;Add 50% forests;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;75;7.5;17.5;7.5;39;28.5;0;0;2.49975;2.49975;2.49975;99.99925;75;;;
Deforestation;LU_change;Add 50% forests;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;66.66666667;10.88777661;22.61863365;4.166666667;17.96666667;44.53333333;0;0;4.053695943;3.666003635;3.167542097;100.172542;66.66666667;;;
More_grasslands;LU_change;Add 50% grasslands;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;36.70588235;48;16.05882353;1.468235294;5.138823529;30.09882353;0;0;19.68;16.32;12;100.7647059;36.70588235;;;
More_grasslands;LU_change;Add 50% grasslands;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;24.98275862;19.5;55.51724138;0.999310345;2.248448276;21.735;0;0;5.07;6.825;7.605;100;24.98275862;;;
More_grasslands;LU_change;Add 50% grasslands;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;45.58823529;22.5;31.91176471;4.558823529;23.70588235;17.32352941;0;0;9.225;6.3;6.975;100;45.58823529;;;
More_grasslands;LU_change;Add 50% grasslands;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;35.75895876;30;34.4959432;2.342123056;10.36438472;23.05245098;0;0;11.325;9.815;8.86;100.254902;35.75895876;;;
More_crops;LU_change;Add 50% crops;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;41.62025316;27.74683544;31.5;1.664810127;5.826835443;34.12860759;0;0;11.37620253;9.433924051;6.936708861;100.8670886;41.62025316;;;
More_crops;LU_change;Add 50% crops;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;6.75;3.25;90;0.27;0.6075;5.8725;0;0;0.845;1.1375;1.2675;100;6.75;;;
More_crops;LU_change;Add 50% crops;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;36.53846154;10.96153846;52.5;3.653846154;19;13.88461538;0;0;4.494230769;3.069230769;3.398076923;100;36.53846154;;;
More_crops;LU_change;Add 50% crops;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;28.3029049;13.98612463;58;1.862885427;8.478111814;17.96190766;0;0;5.5718111;4.54688494;3.867428595;100.2890295;28.3029049;;;
Back_to_nature;Constrained;All mixed forests and low-intensity grasslands (same crops);Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;48;0;0;0;0;32;0;0;101;48;;;
Back_to_nature;Constrained;All mixed forests and low-intensity grasslands (same crops);Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;27;0;0;0;0;13;0;0;100;27;;;
Back_to_nature;Constrained;All mixed forests and low-intensity grasslands (same crops);Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;50;0;0;0;0;15;0;0;100;50;;;
Back_to_nature;Constrained;All mixed forests and low-intensity grasslands (same crops);Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;41.66666667;0;0;0;0;20;0;0;100.3333333;41.66666667;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;48;0;0;0;0;0;32;101;48;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;27;0;0;0;0;0;13;100;27;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;0;50;0;0;0;0;0;15;100;50;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;0;41.66666667;0;0;0;0;0;20;100.3333333;41.66666667;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;48;0;0;0;13.12;10.88;8;101;48;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;27;0;0;0;3.38;4.55;5.07;100;27;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;0;50;0;0;0;6.15;4.2;4.65;100;50;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;0;41.66666667;0;0;0;7.55;6.543333333;5.906666667;100.3333333;41.66666667;;;
UnevenAged_forests;Constrained;All forests are deciduous;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;0;48;0;0;13.12;10.88;8;101;48;;;
UnevenAged_forests;Constrained;All forests are deciduous;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;0;27;0;0;3.38;4.55;5.07;100;27;;;
