from:;https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Wald-Holz/Tabellen/holzeinschlag-deutschland.html;;;;;;
Species;Wood_type;Volume_1000m3_2019;Volume_1000m3_2020;Proportions_2019;Proportions_2020;Proportions_to_use;
Insgesamt;;68872;80420;100;100;100;
Oak;Total;1740;1362;2,526425833;1,693608555;2;
Oak;Logs;655;528;37,64367816;38,76651982;38;
Oak;Industrial_wood;378;274;21,72413793;20,1174743;21;
Oak;Energy_wood;535;405;30,74712644;29,73568282;30;
Oak;Unused_wood;173;155;9,942528736;11,38032305;11;
Beech_other_hardwood;Total;9977;8847;14,48629341;11,00099478;13;
Beech_other_hardwood;Logs;2635;2229;26,41074471;25,19498135;26;
Beech_other_hardwood;Industrial_wood;2680;2118;26,8617821;23,94031875;25;
Beech_other_hardwood;Energy_wood;3720;3560;37,28575724;40,23962925;39;
Beech_other_hardwood;Unused_wood;942;940;9,441715947;10,62507065;10;
Pine_larch;Total;9321;8044;13,53380184;10,00248694;12;
Pine_larch;Logs;4230;3765;45,38139685;46,8050721;46;
Pine_larch;Industrial_wood;3573;2754;38,33279691;34,23669816;36;
Pine_larch;Energy_wood;1219;1235;13,07799592;15,35305818;14;
Pine_larch;Unused_wood;300;290;3,218538783;3,605171556;3;
Spruce_fir_Douglas_other_softwoods;Total;47834;62167;69,45347892;77,30290972;73;
Spruce_fir_Douglas_other_softwoods;Logs;31664;44802;66,19559309;72,0671739;69;
Spruce_fir_Douglas_other_softwoods;Industrial_wood;8835;8726;18,47012585;14,03638586;16;
Spruce_fir_Douglas_other_softwoods;Energy_wood;5387;5697;11,26186395;9,16402593;10;
Spruce_fir_Douglas_other_softwoods;Unused_wood;1947;2942;4,070326546;4,732414303;4;
