Species;Species_German_Latin;Bird_species_English;Resp.1;Resp.2;Resp.3;Resp.4;Resp.5;Resp.6;Resp.7;Resp.8;Resp.9;Resp.10;Resp.11;Resp.12;Resp.13;Resp.14;Resp.15;Resp.16;Resp.17;Resp.18;Resp.19;Resp.20;Resp.21;Resp.22;Resp.23;Resp.24;Resp.25;Resp.26;Resp.27;Resp.28;Resp.29;Resp.30;Resp.31;Resp.32;Resp.33;Resp.34;Resp.35;Resp.36;Resp.37;Resp.38;Resp.39;Resp.40;Resp.41;Resp.42;Resp.43;Resp.44;Resp.45;Resp.46;Resp.47;Resp.48;Resp.49;Resp.50;Resp.51;Resp.52;Resp.53;Resp.54
Acrocephalus palustris;Sumpfrohrsänger (Acrocephalus palustris);Marsh Warbler;3;1;;3;1;1;3;2;;2;3;2;3;1;2;1;2;3;2;2;3;2;2;2;2;2;3;2;2;2;2;;4;2;3;2;4;2;1;2;4;3;2;2;;3;3;2;2;4;3;2;;1
Acrocephalus scirpaceus;Teichrohrsänger (Acrocephalus scirpaceus);Reed Warbler;3;1;;1;1;1;1;3;;2;3;2;4;1;2;3;2;3;2;2;3;2;2;2;2;2;3;2;2;2;2;;4;2;3;3;4;2;1;2;4;3;3;2;;3;3;2;2;4;3;2;;4
Alauda arvensis;Feldlerche (Alauda arvensis);Skylark;4;4;;4;4;4;4;4;4;2;4;2;4;4;4;4;4;4;4;2;4;3;3;4;3;4;4;2;2;2;3;;4;4;4;3;4;3;4;1;4;4;4;4;;4;4;4;4;4;4;4;;4
Anser anser;Graugans (Anser anser);Greylag Goose;3;4;;3;2;4;4;4;;2;4;3;4;1;4;4;3;4;4;2;4;3;2;3;4;3;3;3;2;3;4;;4;4;4;4;4;4;3;4;4;4;3;4;;4;4;3;4;4;3;3;;1
Anthus pratensis;Wiesenpieper (Anthus pratensis);Meadow pipit;3;1;;1;3;4;3;2;;2;1;2;2;3;2;1;2;3;3;2;3;2;2;2;2;2;3;2;2;2;2;;4;2;3;2;4;1;1;1;1;3;2;2;;3;3;3;2;4;3;2;;1
Anthus trivialis;Baumpieper (Anthus trivialis);Tree pipit;3;1;;1;3;4;1;2;;2;1;2;3;1;2;1;2;3;2;2;3;2;2;2;2;2;3;2;2;2;2;;4;2;3;3;4;1;1;2;1;1;2;2;;3;3;3;2;4;3;2;;4
Ardea cinerea;Graureiher (Ardea cinerea);Grey Heron;4;3;;3;1;4;4;4;;3;4;2;4;4;3;4;3;3;4;2;4;4;3;3;3;4;3;2;2;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;;4;4;2;3;4;4;2;;4
Buteo buteo;Mäusebussard (Buteo buteo);Common buzzard;3;4;4;4;3;4;4;4;;4;4;4;4;4;4;4;3;4;4;2;4;4;4;3;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;;4;4;3;3;4;4;2;;4
Carduelis cannabina;"Bluthänfling 	(Carduelis cannabina)";Common linnet;3;1;;3;2;1;1;2;;3;1;2;3;;2;1;2;3;3;2;3;2;2;2;2;3;4;2;2;3;2;;4;2;3;2;4;2;1;2;1;1;2;2;;3;3;3;3;4;3;2;;1
Carduelis carduelis;"Stieglitz	(Carduelis carduelis)";Goldfinch;4;3;4;4;2;4;3;3;;4;4;2;4;4;3;4;2;3;4;2;4;2;2;3;4;4;4;2;2;4;;;4;4;4;4;4;3;3;3;4;4;2;3;;4;4;3;4;4;4;2;;4
