Plants_top;Plants_other;Plants_medicinal;Fungi_top;Fungi_other
Prunus_avium;Aegopodium_podagraria;Achillea_millefolium_aggr;Boletus_edulis;Amanita_fulva
Prunus_sp;Allium_cf_oleraceum;Aphanes_arvensis;Macrolepiota_procera;Amanita_vaginata
Prunus_spinosa;Angelica_sylvestris;Astragalus_glycyphyllos;;Cortinarius_stillatitius
Carum_carvi;Anthriscus_sylvestris;Bellis_perennis;;Hygrocybe_chlorophana
Fragaria_vesca;Arctium_lappa;Fallopia_convolvulus;;Hygrophorus_discoideus
Fragaria_viridis;Arctium_minus;Hypericum_perforatum;;Lactarius_camphoratus
Origanum_vulgare;Arctium_sp;Achillea_millefolium;;Phallus_impudicus
Rosa_canina_aggr;Arctium_tomentosum;;;Pluteus_cervinus
Rosa_canina_agg;Bistorta_officinalis;;;Psathyrella_piluliformis
Vaccinium_myrtillus;Brassica_rapa;;;Russula_integra
Rubus_caesius  ;Bunium_bulbocastanum;;;Tricholoma_orirubens
Rubus_idaeus;Cardamine_pratensis;;;Amanita_rubescens
Rubus_sp;Chenopodium_album;;;Auricularia_auricula_judae
Rubus_fruticosus_corylifolius_agg;Cichorium_intybus;;;Chlorophyllum_olivieri
Ribes_uva-crispa;Cirsium_oleraceum;;;Hydnum_rufescens
Ribes_alpinum;Crataegus_sp;;;Hygrophorus_poetarum
;Daucus_carota;;;Laccaria_amethystina
;Elymus_repens;;;Laccaria_laccata
;Filipendula_ulmaria;;;Lepista_saeva
;Juniperus_communis;;;Lycoperdon_perlatum
;Glechoma_hederacea;;;Lycoperdon_pyriforme
;Lepidium_campestre;;;Russula_cyanoxantha
;Pastinaca_sativa;;;Russula_decolorans
;Phyteuma_orbiculare;;;Russula_heterophylla
;Phyteuma_spicatum;;;Russula_ochroleuca
;Rumex_acetosa;;;Russula_paludosa
;Rumex_acetosella;;;Russula_vesca
;Rumex_thyrsiflorus;;;Russula_virescens
;Sanguisorba_minor;;;Tricholoma_columbetta
;Silene_vulgaris;;;Xerocomus_pruinatus
;Sinapis_alba;;;Boletus_luridus
;Sinapis_arvensis;;;
;Sisymbrium_officinale;;;
;Taraxacum_sp;;;
;Tragopogon_pratensis;;;
